ITEM: TIMESTEP
3100
ITEM: NUMBER OF ATOMS
5286
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.970642 -2.73859 0.096072 0.1
-0.728386 -2.545 0.0961498 0.1
-0.782086 -2.7295 0.141489 0.1
-0.626561 -2.8367 0.0942239 0.1
-0.210892 -2.54168 0.394531 0.5
0.289 -2.68673 0.098083 0.1
0.434498 -2.86711 0.0964246 0.1
0.212067 -2.87049 0.105641 0.1
0.766796 -2.45194 0.386217 0.5
1.32259 -2.56304 0.0994373 0.1
1.61006 2.42653 3.66774 0.1
-1.43212 -1.8278 0.0952888 0.1
-1.1604 -2.26359 0.398982 0.5
-0.873114 -1.84245 0.0911784 0.1
-0.60888 -2.15042 0.598131 0.1
-0.155152 -2.03445 0.0888519 0.1
0.0118899 -1.89467 0.0986692 0.1
0.39365 -2.0752 0.0979935 0.1
0.264305 -2.38338 0.0867176 0.1
0.0316492 -2.09737 0.0907902 0.1
0.241115 -2.10414 0.532902 0.15
0.191786 -2.00882 0.149023 0.1
0.204831 -2.1974 0.0979776 0.1
1.13073 -2.08341 0.0920281 0.1
0.854073 -1.94176 0.0941074 0.1
1.15414 -1.83938 0.0919933 0.1
1.02459 -1.95009 0.190743 0.1
1.03575 -1.91872 0.412114 0.1
1.62939 -1.99962 0.399925 0.5
1.27206 -2.35563 0.0905767 0.1
2.14401 -1.95363 0.0977437 0.1
2.24395 -1.83982 0.228904 0.1
-2.62756 -1.28391 0.0825659 0.1
-2.50921 -1.44124 0.0984054 0.1
-2.4144 -1.61457 0.0942247 0.1
-2.31913 -1.3837 0.0960434 0.1
-1.92044 -1.69765 0.411033 0.5
-1.35026 -1.66288 0.233805 0.1
-1.24789 -1.7575 0.0947399 0.1
-1.26043 -1.6736 0.409732 0.1
-1.43701 -1.55336 0.0940039 0.1
-0.94117 -1.58188 0.0977744 0.1
-1.0498 -1.75647 0.0966697 0.1
-1.15218 -1.67369 0.242883 0.1
-1.01902 -1.6835 0.387497 0.1
-0.426415 -1.61814 0.404261 0.5
-0.00985364 -1.20124 0.144678 0.15
0.496496 -1.54216 0.350206 0.5
0.986674 -1.74522 0.0909139 0.1
1.02581 -1.51856 0.0878425 0.1
1.14801 -1.65354 0.162836 0.1
1.12467 -1.67708 0.42777 0.1
1.04308 -1.77459 0.277836 0.1
1.32136 -1.60407 0.0866244 0.1
1.7328 -1.46522 0.0988916 0.1
2.33462 -1.71868 0.0974281 0.1
2.24289 -1.2301 0.432129 0.5
1.97197 -1.62626 0.0904893 0.1
2.1226 -1.7551 0.0976437 0.1
2.56807 -1.35105 0.0329958 0.1
-2.39612 -0.87269 0.395657 0.5
-1.95663 -1.17564 0.0978868 0.1
-1.79789 -0.58427 0.146533 0.15
-1.7592 -0.852416 0.100002 0.1
-1.57623 -0.70495 0.0973858 0.1
-1.74278 -1.13292 0.0991732 0.1
-0.632703 -1.15279 0.0951935 0.1
-1.16898 -1.08657 0.345281 0.5
-0.792186 -0.698339 0.0944634 0.1
-0.668273 -0.895707 0.0933798 0.1
-0.616786 -0.860391 0.309788 0.1
-0.440231 -1.1103 0.0948263 0.1
-0.244127 -1.13647 0.0976182 0.1
-0.285428 -0.88609 0.0955932 0.1
-0.13012 -0.98699 0.157578 0.1
-0.552742 -0.686925 0.144069 0.15
-0.557321 -1.03495 0.236636 0.1
-0.0182019 -1.02442 0.316513 0.1
-0.331246 -1.02341 0.235041 0.1
-0.476043 -0.91815 0.0977396 0.1
-0.418816 -0.84977 0.274276 0.1
-0.544377 -0.682011 0.392307 0.1
0.0568475 -0.967663 0.0977128 0.1
0.205903 -1.09529 0.0937705 0.1
0.17258 -0.994394 0.260149 0.1
0.248205 -0.908329 0.0963758 0.1
0.401848 -0.785894 0.0956069 0.1
0.423743 -1.00226 0.0982149 0.1
0.355748 -0.905533 0.26116 0.1
0.552429 -0.933437 0.258126 0.1
0.474474 -0.790423 0.371898 0.1
0.588764 -0.826596 0.0934972 0.1
0.550356 -0.681214 0.22376 0.1
0.547434 -0.954946 0.455583 0.1
0.908067 -0.80397 0.085298 0.1
1.03982 -0.658279 0.099424 0.1
0.812835 -0.984454 0.0947687 0.1
0.698994 -0.64017 0.0976525 0.1
0.72417 -0.99719 0.335474 0.1
0.621921 -1.02002 0.0945284 0.1
0.844238 -0.69708 0.220286 0.1
0.734612 -0.851412 0.212921 0.1
0.741994 -0.958296 0.523224 0.1
1.30472 -1.10768 0.401606 0.5
1.72133 -0.776184 0.0991379 0.1
1.93114 -0.724879 0.244881 0.1
2.26158 -0.744877 0.0915961 0.1
1.90922 -0.854242 0.0974117 0.1
1.8033 -1.02019 0.0921918 0.1
2.06473 -0.731914 0.0981894 0.1
2.58643 -0.853112 0.098239 0.1
2.71427 -1.02008 0.0985618 0.1
2.78105 -0.807545 0.0980703 0.1
-2.85649 -0.302465 0.109222 0.1
-2.82269 -0.0997583 0.101198 0.1
-2.62824 -0.232848 0.0949835 0.1
-2.35276 -0.353854 0.103017 0.1
-2.00007 -0.406061 0.0986954 0.1
-2.36617 -0.152205 0.105995 0.1
-1.42225 -0.322462 0.0986595 0.1
-1.3411 -0.545853 0.0990661 0.1
-0.877239 -0.172149 0.36235 0.5
-0.364572 -0.0268178 0.094623 0.1
-0.00106888 -0.428241 0.343406 0.5
0.542179 -0.329678 0.0982508 0.1
0.53427 -0.529481 0.0971621 0.1
0.384112 -0.0359912 0.0980786 0.1
0.503167 -0.0323109 0.258037 0.1
0.558213 -0.131713 0.0973505 0.1
0.710142 -0.439021 0.0980066 0.1
1.07667 -0.249533 0.0979018 0.1
0.902455 -0.15666 0.0959713 0.1
0.875961 -0.547034 0.0971389 0.1
0.72279 -0.241288 0.0998292 0.1
0.907426 -0.352867 0.097443 0.1
1.08884 -0.45095 0.0985825 0.1
0.825581 -0.0509656 0.241929 0.1
1.03306 -0.111104 0.237883 0.1
1.22741 -0.595936 0.0967692 0.1
1.62554 -0.218294 0.330869 0.5
2.07726 -0.533668 0.0976139 0.1
2.14147 -0.0259315 0.097584 0.1
2.54656 -0.33646 0.411982 0.5
-2.78132 0.271869 0.0987835 0.1
-2.62766 0.0682442 0.118556 0.1
-2.34013 0.0639452 0.0982858 0.1
-1.78061 0.0650362 0.392867 0.5
-1.41546 0.420894 0.092134 0.1
-1.57872 0.552771 0.098556 0.1
-1.2985 0.476458 0.242003 0.1
-1.40946 0.530759 0.398096 0.1
-1.28338 0.158438 0.0896853 0.1
-1.23261 0.491703 0.469585 0.1
-1.23458 0.345845 0.0967919 0.1
-1.23505 0.298889 0.434178 0.1
-1.17996 0.532736 0.0933918 0.1
-1.03786 0.337404 0.0967465 0.1
-1.14202 0.355595 0.268829 0.1
-0.54598 0.244415 0.0949615 0.1
-0.340814 0.363117 0.0972908 0.1
-0.190463 0.0812618 0.0964216 0.1
-0.365712 0.16983 0.0939078 0.1
-0.313962 0.0723835 0.255045 0.1
-0.371128 0.261854 0.266326 0.1
-0.43398 0.219387 0.448993 0.1
-0.280372 0.0945572 0.445928 0.1
-0.386073 0.113677 0.609653 0.1
-0.34904 0.319536 0.596923 0.1
0.182861 0.462949 0.360418 0.5
1.11582 0.00374217 0.0980732 0.1
0.919717 0.0385868 0.0952125 0.1
1.09122 0.547464 0.348346 0.5
0.671874 0.110664 0.137519 0.15
0.731715 0.0673808 0.367403 0.1
0.669926 0.158255 0.529808 0.1
1.63085 0.59991 0.0981336 0.1
1.60549 0.357345 0.0985539 0.1
1.78148 0.451736 0.0983507 0.1
1.97568 0.502553 0.0984413 0.1
2.30503 0.192679 0.0985768 0.1
2.08359 0.336889 0.0976823 0.1
1.88681 0.274778 0.0984689 0.1
2.03877 0.144493 0.0972529 0.1
2.17973 0.11672 0.232284 0.1
2.03893 0.259903 0.281504 0.1
2.50409 0.173828 0.0982797 0.1
2.90131 0.02214 0.095602 0.1
2.70306 0.152242 0.0984688 0.1
2.87672 0.414575 0.0912479 0.1
2.89286 0.218733 0.098878 0.1
-2.45111 0.755483 0.424605 0.5
-1.93343 0.601634 0.0985975 0.1
-2.12247 1.13172 0.0963752 0.1
-1.88293 0.629833 0.543704 0.1
-1.36015 0.607233 0.0961356 0.1
-1.5806 1.09907 0.344684 0.5
-1.20591 0.737402 0.0787089 0.1
-1.25807 0.653518 0.57894 0.1
-0.703549 0.746599 0.370786 0.5
-1.04054 1.15815 0.0974508 0.1
-0.0959836 0.953135 0.0978724 0.1
0.408698 0.894604 0.0647915 0.1
0.0972342 0.998284 0.100191 0.1
0.612722 0.819731 0.0983242 0.1
1.13226 1.15695 0.286189 0.1
0.610231 0.820558 0.575455 0.1
1.07074 1.14762 0.09787 0.1
1.25026 1.06548 0.0944095 0.1
1.84871 0.71184 0.146747 0.15
2.45916 0.689322 0.403183 0.5
-2.50701 1.45845 0.0981361 0.1
-2.63054 1.22342 0.0974923 0.1
-2.4374 1.27139 0.0983124 0.1
-2.18083 1.63086 0.097899 0.1
-1.88577 1.73339 0.0972008 0.1
-2.09863 1.44283 0.0983677 0.1
-1.91701 1.53353 0.098223 0.1
-2.30878 1.4781 0.0983491 0.1
-2.37677 1.66434 0.0980594 0.1
-2.02375 1.6537 0.215818 0.1
-2.23934 1.29212 0.0985488 0.1
-1.71627 1.62788 0.097747 0.1
-1.31815 1.57448 0.593962 0.1
-0.77606 1.62979 0.35031 0.5
-0.41148 1.20754 0.098246 0.1
-0.223364 1.5415 0.0982052 0.1
-0.217262 1.32691 0.0987577 0.1
-0.0041595 1.43815 0.099247 0.1
0.0101704 1.69193 0.144446 0.15
0.0112504 1.20207 0.0980779 0.1
0.571017 1.36918 0.340424 0.5
1.15141 1.51222 0.0983551 0.1
1.02706 1.67292 0.0973568 0.1
1.09235 1.65707 0.282539 0.1
1.2008 1.61318 0.450449 0.1
1.15137 1.47305 0.320523 0.1
1.18073 1.31539 0.0984082 0.1
1.30797 1.64619 0.098514 0.1
1.7051 1.2895 0.406638 0.5
2.24129 1.49962 0.0985144 0.1
2.37529 1.65677 0.0983553 0.1
2.35318 1.28098 0.147192 0.15
2.12237 1.65863 0.0977807 0.1
1.94783 1.7531 0.0984086 0.1
2.59788 1.21129 0.0981415 0.1
2.48636 1.49077 0.0982968 0.1
-2.04452 2.05458 0.0980557 0.1
-2.04981 1.84711 0.0982604 0.1
-2.24972 1.82435 0.098018 0.1
-1.54032 2.10129 0.418111 0.5
-0.956565 2.17493 0.510736 0.1
-1.01332 2.27824 0.0978518 0.1
-0.240781 1.85885 0.097758 0.1
-0.0299897 2.30414 0.0978368 0.1
-0.169351 2.12908 0.0989623 0.1
0.0161109 1.95954 0.098464 0.1
0.4791 2.00447 0.0979876 0.1
0.241146 1.85501 0.0978559 0.1
0.101891 2.14508 0.0983784 0.1
0.280137 2.05009 0.0977456 0.1
0.783189 2.04501 0.123366 0.15
0.941166 1.85365 0.0981215 0.1
0.769505 1.96957 0.380541 0.15
1.37216 2.17934 0.362768 0.5
1.75473 1.80054 0.0982074 0.1
2.25902 1.81911 0.0980417 0.1
1.88517 1.95713 0.0982576 0.1
2.12174 1.9774 0.0979243 0.1
2.09731 1.81794 0.213976 0.1
1.99626 2.05875 0.230068 0.1
1.91227 2.18008 0.0976136 0.1
-1.30798 -2.78373 3.87186 0.1
-1.30714 2.58412 0.0981646 0.1
-1.10676 2.55391 0.0982747 0.1
-0.505463 2.54029 0.382582 0.5
-0.127379 2.89975 0.0950754 0.1
