ITEM: TIMESTEP
3400
ITEM: NUMBER OF ATOMS
5910
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.970011 -2.73722 0.0964324 0.1
-0.727821 -2.54347 0.0977248 0.1
-0.781482 -2.72853 0.142986 0.1
-0.626297 -2.83607 0.0942409 0.1
-0.210239 -2.54023 0.396503 0.5
0.289047 -2.69443 0.098797 0.1
0.422204 -2.86762 0.0976802 0.1
0.204136 -2.88875 0.0952908 0.1
0.766819 -2.45137 0.386996 0.5
1.37434 -2.55077 0.0984585 0.1
1.61011 2.42509 3.66752 0.1
-1.43089 -1.82672 0.0969403 0.1
-1.15877 -2.26161 0.401644 0.5
-0.872266 -1.84115 0.0931403 0.1
-0.607534 -2.14876 0.601267 0.1
-0.154907 -2.03376 0.0901023 0.1
0.03979 -1.86859 0.0980005 0.1
0.383168 -2.091 0.0985146 0.1
0.264363 -2.38268 0.087257 0.1
0.0317363 -2.0963 0.0911087 0.1
0.24193 -2.10297 0.533455 0.15
0.192104 -2.00788 0.148666 0.1
0.204632 -2.19671 0.0976769 0.1
1.13084 -2.08368 0.0920319 0.1
0.85453 -1.94194 0.0938427 0.1
1.15408 -1.83983 0.0920757 0.1
1.0249 -1.95052 0.190464 0.1
1.03669 -1.9188 0.411246 0.1
1.62951 -2.00012 0.400124 0.5
1.2719 -2.35568 0.0906951 0.1
2.14441 -1.95345 0.097679 0.1
2.24391 -1.83995 0.228717 0.1
-2.62644 -1.28357 0.0836697 0.1
-2.50809 -1.44059 0.0986767 0.1
-2.41343 -1.61402 0.095312 0.1
-2.31754 -1.38362 0.0977663 0.1
-1.9181 -1.69673 0.414432 0.5
-1.34736 -1.66098 0.237922 0.1
-1.24672 -1.75561 0.0958732 0.1
-1.25806 -1.67189 0.41638 0.1
