ITEM: TIMESTEP
3600
ITEM: NUMBER OF ATOMS
6312
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.970332 -2.73763 0.0954885 0.1
-0.727704 -2.54391 0.0965958 0.1
-0.781104 -2.72865 0.142331 0.1
-0.625864 -2.83618 0.0936141 0.1
-0.210017 -2.54119 0.394654 0.5
0.294205 -2.6999 0.0987686 0.1
0.433262 -2.86347 0.0991803 0.1
0.226587 -2.88675 0.0964722 0.1
0.76732 -2.45217 0.385928 0.5
1.38929 -2.52624 0.0987263 0.1
1.61144 2.42299 3.66539 0.1
-1.43114 -1.82725 0.0955297 0.1
-1.15901 -2.26292 0.399258 0.5
-0.87215 -1.84199 0.0915712 0.1
-0.606881 -2.14988 0.598442 0.1
-0.154469 -2.03418 0.0886768 0.1
0.046128 -1.87873 0.0975457 0.1
0.384116 -2.07515 0.098035 0.1
0.264607 -2.38324 0.0865928 0.1
0.0319937 -2.097 0.0904446 0.1
0.241799 -2.10391 0.531952 0.15
0.192133 -2.00844 0.147663 0.1
0.20466 -2.19716 0.097458 0.1
1.13102 -2.08394 0.0916447 0.1
0.854683 -1.94225 0.0933101 0.1
1.15429 -1.84008 0.09182 0.1
1.02512 -1.95093 0.19018 0.1
1.03694 -1.91943 0.410695 0.1
1.62992 -2.00045 0.39922 0.5
1.27217 -2.35592 0.0901237 0.1
2.14482 -1.95323 0.0975914 0.1
2.24403 -1.83973 0.228857 0.1
-2.62728 -1.28406 0.0825347 0.1
-2.50857 -1.44095 0.0982479 0.1
-2.41361 -1.61438 0.0943266 0.1
-2.31843 -1.38475 0.0965931 0.1
-1.91904 -1.69777 0.41146 0.5
-1.34821 -1.66216 0.235506 0.1
-1.24677 -1.75684 0.0950489 0.1
-1.25792 -1.67327 0.41191 0.1
-1.43515 -1.55459 0.0947695 0.1
-0.936777 -1.58382 0.0985578 0.1
-1.04884 -1.75639 0.097116 0.1
-1.15055 -1.67361 0.243724 0.1
-1.01818 -1.68127 0.389696 0.1
-0.424225 -1.61741 0.404009 0.5
-0.00864973 -1.20087 0.14409 0.15
0.497877 -1.54267 0.348359 0.5
0.986848 -1.7459 0.0901723 0.1
1.02663 -1.51863 0.08686 0.1
1.14834 -1.65414 0.161648 0.1
1.12687 -1.67685 0.425564 0.1
1.04398 -1.7753 0.276678 0.1
1.32172 -1.60469 0.086221 0.1
1.76773 -1.39585 0.0983229 0.1
2.33507 -1.72045 0.0978501 0.1
2.24427 -1.23088 0.430832 0.5
1.97266 -1.62676 0.0897841 0.1
2.12299 -1.75509 0.0978019 0.1
2.56876 -1.35104 0.0320784 0.1
-2.39479 -0.873492 0.395885 0.5
-1.95887 -1.18264 0.0988996 0.1
-1.78536 -0.536102 0.147048 0.15
-1.82002 -0.865703 0.0994757 0.1
-1.56257 -0.700989 0.098802 0.1
-1.75706 -1.14179 0.0990596 0.1
-0.631185 -1.15237 0.094936 0.1
-1.16581 -1.08622 0.345605 0.5
-0.79026 -0.698457 0.0954447 0.1
-0.666356 -0.895194 0.0929544 0.1
-0.613121 -0.859267 0.310206 0.1
-0.439086 -1.10939 0.0948342 0.1
-0.243082 -1.13617 0.0974298 0.1
-0.283425 -0.885605 0.0957116 0.1
-0.128286 -0.986376 0.157761 0.1
-0.549894 -0.686333 0.144145 0.15
-0.556195 -1.03714 0.238414 0.1
-0.0153167 -1.02404 0.316864 0.1
-0.328428 -1.02223 0.235156 0.1
-0.474026 -0.917347 0.0981522 0.1
-0.414616 -0.848375 0.274441 0.1
-0.556624 -0.681131 0.391926 0.1
0.0589698 -0.967624 0.0976874 0.1
0.207021 -1.09553 0.0934144 0.1
0.176029 -0.993954 0.259304 0.1
0.250126 -0.908563 0.0949924 0.1
0.403169 -0.785986 0.0932536 0.1
0.425033 -1.00205 0.0981192 0.1
0.357869 -0.904571 0.260422 0.1
0.554231 -0.933666 0.257104 0.1
0.480609 -0.788689 0.371375 0.1
0.588663 -0.827543 0.092915 0.1
0.549954 -0.680684 0.220343 0.1
0.559741 -0.952677 0.453832 0.1
0.908932 -0.807811 0.0843858 0.1
1.04328 -0.663195 0.0986875 0.1
0.814263 -0.983169 0.0942456 0.1
0.705403 -0.63778 0.0975107 0.1
0.726559 -0.997461 0.33362 0.1
0.622683 -1.02006 0.0940572 0.1
0.848469 -0.700428 0.217226 0.1
0.73337 -0.850472 0.212596 0.1
0.747381 -0.955613 0.519746 0.1
1.3077 -1.10792 0.39921 0.5
1.72375 -0.771972 0.0983247 0.1
1.93139 -0.726852 0.245503 0.1
2.26231 -0.745018 0.0910813 0.1
1.91017 -0.855778 0.097614 0.1
1.80444 -1.02158 0.0909494 0.1
2.06569 -0.734202 0.0986017 0.1
2.57497 -0.85269 0.0977734 0.1
2.71139 -1.01743 0.0983922 0.1
2.77666 -0.803163 0.0985637 0.1
-2.76373 -0.476617 0.10115 0.1
-2.84259 -0.188353 0.0975565 0.1
-2.63016 -0.294908 0.0997884 0.1
-2.41033 -0.290904 0.0990348 0.1
-2.05419 -0.476184 0.0981848 0.1
-2.49507 -0.100313 0.0988956 0.1
-1.4284 -0.328619 0.0984559 0.1
-1.39705 -0.578922 0.0985621 0.1
-0.87303 -0.171621 0.360345 0.5
-0.361174 -0.0261322 0.0937028 0.1
0.00441804 -0.427103 0.339881 0.5
0.550048 -0.329407 0.0980503 0.1
0.541603 -0.527483 0.0964218 0.1
0.388235 -0.0355186 0.0972751 0.1
0.507928 -0.0291136 0.256408 0.1
0.562982 -0.131768 0.0974963 0.1
0.717987 -0.436984 0.098793 0.1
1.07886 -0.258268 0.0974216 0.1
0.90883 -0.15487 0.0962034 0.1
0.882725 -0.547278 0.0977076 0.1
0.729882 -0.238901 0.0978685 0.1
0.903244 -0.351569 0.0977978 0.1
1.0805 -0.461868 0.0984452 0.1
0.82983 -0.0470924 0.239075 0.1
1.04673 -0.116262 0.233649 0.1
1.22919 -0.59609 0.0971709 0.1
1.62956 -0.216852 0.326986 0.5
2.08021 -0.536715 0.0972467 0.1
2.14724 -0.0224634 0.0971273 0.1
2.54805 -0.335858 0.4101 0.5
-2.65084 0.224178 0.0980913 0.1
-2.68898 -0.027664 0.111527 0.1
-2.44644 0.211475 0.0991171 0.1
-1.77893 0.0645947 0.391701 0.5
-1.4149 0.420773 0.0912932 0.1
-1.5689 0.548323 0.0981648 0.1
-1.29736 0.475839 0.240543 0.1
-1.40861 0.530765 0.394412 0.1
-1.28194 0.158539 0.08916 0.1
-1.23006 0.491452 0.46468 0.1
-1.23434 0.34635 0.096257 0.1
-1.23248 0.298647 0.432181 0.1
-1.17923 0.53333 0.0926274 0.1
-1.0378 0.337157 0.0955927 0.1
-1.14004 0.355658 0.266576 0.1
-0.543589 0.245628 0.0935229 0.1
-0.338278 0.364003 0.0948613 0.1
-0.188001 0.0820427 0.0961105 0.1
-0.363587 0.170702 0.0935209 0.1
-0.310037 0.0730875 0.253713 0.1
-0.367029 0.263025 0.265213 0.1
-0.431511 0.220363 0.445613 0.1
-0.275016 0.0977327 0.443029 0.1
-0.382479 0.114538 0.605313 0.1
-0.34457 0.322087 0.590904 0.1
0.186713 0.465566 0.355436 0.5
1.12342 0.00594479 0.0969793 0.1
0.920399 0.041818 0.0935066 0.1
1.09429 0.550063 0.344425 0.5
