ITEM: TIMESTEP
300
ITEM: NUMBER OF ATOMS
600
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
0.761932 1.79829 3.8606 0.5
1.67593 -0.67688 3.97733 0.5
0.331205 -1.44561 3.96956 0.1
0.68329 0.0630821 4.01757 0.1
-0.346023 0.389905 0.174117 0.1
0.260245 1.94172 0.260061 0.1
-0.934853 -0.0718051 0.235711 0.15
0.195626 -0.112988 0.185501 0.1
0.944328 -0.687063 0.365017 0.1
-0.358748 -1.47525 0.42309 0.1
-1.45202 -0.166076 0.439162 0.1
-1.18435 -1.31861 0.551097 0.1
0.944898 0.901648 0.642981 0.1
0.918991 1.47705 0.588942 0.1
1.67187 -0.89333 0.636892 0.1
0.149703 0.0577387 0.751853 0.1
-0.176994 1.26841 0.798043 0.1
1.17353 -0.503002 0.764498 0.1
0.833916 -0.376504 0.825855 0.1
-0.668287 0.104727 0.845794 0.1
0.49297 1.35471 0.848161 0.1
-1.0656 -1.59345 0.895771 0.1
0.623551 0.020236 0.918854 0.1
1.59808 -0.994312 0.94013 0.1
0.955986 -0.735971 0.988626 0.1
1.01176 0.678083 1.10036 0.1
-0.310161 -0.871376 1.20632 0.1
-0.254297 -1.97463 1.17031 0.1
-1.6907 0.359237 1.29067 0.1
-1.98298 -0.0172357 1.33927 0.1
1.54412 0.0999496 1.40801 0.5
0.62509 1.89277 1.41802 0.5
-0.329105 0.729977 1.48808 0.1
-1.19513 1.39478 1.48271 0.1
1.05602 0.518287 1.58853 0.1
-1.79759 -0.0887827 1.50774 0.1
-0.468714 -1.67598 1.57425 0.1
-0.893412 0.422153 1.58027 0.1
0.329684 1.00684 1.59442 0.1
-0.551665 0.158019 1.63745 0.1
-0.833899 0.667425 1.67036 0.15
0.914433 0.883071 1.761 0.1
-1.49587 -1.01211 1.82926 0.1
0.297384 -1.87092 1.80661 0.15
-0.882027 -0.229505 1.83669 0.1
-0.45317 -0.434026 1.79866 0.1
1.29879 0.755924 1.97889 0.1
1.43685 1.17711 1.99812 0.1
1.19614 -0.490544 1.91143 0.1
-1.38307 -1.26258 1.91712 0.1
-1.00863 -0.0942728 2.03237 0.1
-0.0194986 0.28633 2.08398 0.1
0.572107 -0.601884 2.1236 0.5
0.49602 0.615492 2.08994 0.1
-1.40485 0.680787 2.1334 0.1
0.684318 1.33748 2.13774 0.1
0.811958 -1.42782 2.189 0.1
-0.276609 -0.964629 2.18841 0.1
-0.251038 0.798556 2.22784 0.1
-1.86778 0.137799 2.2621 0.1
0.499397 1.36816 2.33643 0.1
1.93322 -0.364933 2.32971 0.15
-0.19861 1.95745 2.38166 0.15
-1.1367 -0.456922 2.38135 0.1
1.26373 -0.512361 2.40384 0.1
1.59166 -1.02166 2.41382 0.5
-0.241098 -0.129873 2.50195 0.1
0.854186 0.307103 2.48973 0.15
