ITEM: TIMESTEP
2600
ITEM: NUMBER OF ATOMS
4365
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.977339 -2.73377 0.0942099 0.1
-0.730234 -2.55182 0.098305 0.1
-0.787975 -2.73605 0.148052 0.1
-0.626407 -2.83494 0.0942517 0.1
-0.210493 -2.54025 0.399155 0.5
0.177984 -2.89974 0.1146 0.1
0.407864 -2.86592 0.106655 0.1
0.766977 -2.45082 0.389773 0.5
1.29997 -2.55402 0.0971176 0.1
0.18343 1.51375 4.14765 0.1
-1.43024 -1.82501 0.0978642 0.1
-1.15755 -2.25987 0.403515 0.5
-0.871056 -1.84036 0.0937267 0.1
-0.154984 -2.03329 0.0912902 0.1
0.023843 -1.86561 0.097639 0.1
0.379557 -2.06873 0.0984621 0.1
0.26427 -2.3827 0.088565 0.1
0.0315556 -2.09605 0.0918592 0.1
0.241958 -2.10416 0.536519 0.15
0.19186 -2.00736 0.150643 0.1
0.203579 -2.1967 0.098126 0.1
1.13054 -2.08302 0.0938553 0.1
0.852947 -1.94145 0.0948161 0.1
1.1542 -1.83885 0.0932218 0.1
1.02373 -1.94914 0.190914 0.1
1.03682 -1.91765 0.413996 0.1
1.62951 -1.99932 0.40448 0.5
1.27194 -2.35476 0.0929524 0.1
2.1423 -1.95711 0.0975306 0.1
2.23975 -1.84493 0.229427 0.1
-2.62563 -1.28241 0.0845439 0.1
-2.50285 -1.43725 0.0988634 0.1
-2.41292 -1.61354 0.0957351 0.1
-2.31117 -1.37791 0.0974488 0.1
-1.91734 -1.69368 0.416259 0.5
-1.34526 -1.65558 0.238149 0.1
-1.24644 -1.75253 0.0961208 0.1
-1.26077 -1.6697 0.418876 0.1
-1.43376 -1.54993 0.0965869 0.1
-0.941606 -1.58496 0.098409 0.1
-1.04845 -1.75256 0.0973367 0.1
-1.14786 -1.67199 0.247912 0.1
-0.42364 -1.61595 0.410953 0.5
-0.00748213 -1.19983 0.145912 0.15
0.498797 -1.54199 0.354206 0.5
0.986988 -1.74487 0.0919429 0.1
1.02698 -1.51745 0.0899696 0.1
1.14845 -1.65259 0.163926 0.1
1.12558 -1.67568 0.430525 0.1
1.04515 -1.77394 0.279067 0.1
1.32189 -1.60388 0.0894778 0.1
1.74942 -1.41448 0.0987959 0.1
2.32483 -1.71902 0.0988375 0.1
2.24383 -1.22925 0.43562 0.5
1.97305 -1.62688 0.0923529 0.1
2.11939 -1.75965 0.0981777 0.1
2.56822 -1.35024 0.0341183 0.1
-1.88362 -0.971378 0.103458 0.1
-2.39229 -0.869425 0.401513 0.5
-1.93375 -1.17019 0.0985191 0.1
-1.61803 -0.769002 0.0985291 0.1
-1.73615 -1.13272 0.0979452 0.1
-0.631787 -1.15667 0.0951409 0.1
-1.16334 -1.08246 0.352774 0.5
-0.793774 -0.692689 0.0963429 0.1
-0.663693 -0.894559 0.0945311 0.1
-0.607916 -0.860941 0.304728 0.1
-0.439636 -1.11005 0.0955654 0.1
-0.242037 -1.13568 0.0973318 0.1
-0.27746 -0.885044 0.0969502 0.1
-0.124567 -0.984399 0.165524 0.1
-0.547872 -0.681688 0.145155 0.15
-0.560003 -1.03944 0.236398 0.1
-0.0169675 -1.02271 0.328714 0.1
-0.325846 -1.02004 0.234409 0.1
-0.469879 -0.914244 0.0992724 0.1
-0.410337 -0.844324 0.276258 0.1
-0.528916 -0.687501 0.392181 0.1
0.0590271 -0.965078 0.0972067 0.1
0.208778 -1.09252 0.095531 0.1
0.167681 -0.994812 0.262339 0.1
0.25451 -0.903314 0.0945435 0.1
0.408893 -0.78218 0.0936256 0.1
0.42466 -1.00429 0.098139 0.1
0.354079 -0.918794 0.265607 0.1
0.553116 -0.935931 0.259568 0.1
0.478654 -0.791805 0.372104 0.1
0.595576 -0.82437 0.0948895 0.1
0.911957 -0.804156 0.0867046 0.1
1.04431 -0.653486 0.0983609 0.1
