ITEM: TIMESTEP
1200
ITEM: NUMBER OF ATOMS
1952
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.862343 -2.7731 0.134828 0.1
-0.728269 -2.58093 0.0963778 0.1
-0.217479 -2.53786 0.419484 0.5
0.75293 -2.44103 0.400237 0.5
1.37904 -2.48837 0.103773 0.1
-1.15167 -2.24365 0.419711 0.5
0.0531744 -1.90494 0.103237 0.1
0.376118 -2.07508 0.0971426 0.1
-0.16124 -2.01739 0.0967214 0.1
0.235835 -2.29921 0.098866 0.1
0.10041 -2.12819 0.119778 0.1
1.10454 -2.04252 0.100696 0.1
0.977038 -1.90196 0.253913 0.1
1.62929 -1.98758 0.414367 0.5
1.25502 -2.32688 0.0977744 0.1
2.14236 -1.9613 0.101287 0.1
2.24849 -1.78498 0.157503 0.1
-2.62271 -1.27889 0.0833344 0.1
-2.50364 -1.44482 0.225573 0.1
-2.40812 -1.59152 0.0867179 0.1
-2.32078 -1.37111 0.10123 0.1
-1.92346 -1.68748 0.40385 0.5
-1.39546 -1.71965 0.106448 0.1
-0.978327 -1.6411 0.150782 0.1
-0.636614 -1.15617 0.0944227 0.1
-0.426048 -1.60191 0.44124 0.5
0.00152554 -1.20468 0.138213 0.15
0.494507 -1.55065 0.357499 0.5
1.12333 -1.68398 0.214951 0.1
1.03143 -1.55236 0.0967331 0.1
1.27046 -1.6351 0.096324 0.1
1.07722 -1.84748 0.0944881 0.1
2.24734 -1.23386 0.419339 0.5
2.00629 -1.66519 0.0900441 0.1
1.84045 -1.53236 0.094948 0.1
-0.441584 2.05766 3.70732 0.1
0.853198 1.98265 3.34764 0.1
2.56826 -1.36163 0.0273972 0.1
-1.87292 -1.02946 0.0948598 0.1
-2.39376 -0.859935 0.402766 0.5
-1.80009 -0.97277 0.28061 0.1
-1.58286 -0.506061 0.232506 0.1
-1.81043 -0.727125 0.1672 0.15
-1.76923 -1.21166 0.0988328 0.1
-1.16234 -1.07093 0.355616 0.5
-0.800871 -0.68189 0.0946242 0.1
-0.464426 -1.06412 0.126937 0.1
-0.625667 -0.943677 0.0926115 0.1
-0.269187 -1.13791 0.0927333 0.1
-0.295062 -0.860561 0.113284 0.1
-0.25789 -1.00212 0.237546 0.1
-0.611321 -0.817602 0.369743 0.1
-0.564805 -0.699138 0.152943 0.15
-0.481496 -1.02338 0.345268 0.1
-0.0898645 -0.97581 0.103118 0.1
-0.251837 -1.03293 0.4609 0.1
0.133701 -0.965363 0.129346 0.1
-0.0700561 -1.06577 0.383323 0.1
0.461929 -0.95062 0.266382 0.1
0.590041 -0.652926 0.0973984 0.1
0.263899 -0.979413 0.372131 0.1
0.461695 -0.811387 0.100485 0.1
0.375827 -1.03186 0.0920675 0.1
0.774318 -0.914607 0.0976531 0.1
0.954768 -0.661171 0.102812 0.1
0.584342 -0.977658 0.0950527 0.1
0.535235 -0.784864 0.398272 0.1
1.30672 -1.1139 0.397548 0.5
1.89145 -0.748159 0.26955 0.1
1.96528 -0.629408 0.563656 0.1
2.2129 -0.726031 0.105579 0.1
2.00622 -0.791462 0.102692 0.1
1.81737 -0.921776 0.131126 0.1
2.53795 -0.833252 0.0931379 0.1
2.77458 -0.846167 0.107161 0.1
-2.87261 -0.36802 0.0922906 0.1
-2.90401 -0.122495 0.230669 0.1
-2.64402 0.130095 0.204694 0.1
-2.49757 -0.214896 0.105336 0.1
-1.42194 -0.500031 0.0957227 0.1
-0.868553 -0.164005 0.384878 0.5
-0.529267 0.262103 0.0916227 0.1
-0.320415 0.316194 0.093362 0.1
0.0201362 -0.425781 0.360963 0.5
1.05971 -0.310947 0.0979283 0.1
0.736099 -0.22691 0.1887 0.1
0.771083 -0.71984 0.18233 0.1
0.607628 -0.443335 0.109601 0.1
0.529912 -0.202645 0.112099 0.1
0.870675 -0.389849 0.102864 0.1
0.924247 0.0658292 0.103913 0.1
1.0189 -0.109575 0.102812 0.1
1.06853 -0.499186 0.142624 0.1
1.61723 -0.204989 0.334031 0.5
1.24295 -0.602809 0.0957021 0.1
2.08671 -0.55289 0.097251 0.1
2.53807 -0.337042 0.415444 0.5
-2.41302 0.254912 0.0948276 0.1
-1.89761 0.624045 0.0820808 0.1
-1.7699 0.0615021 0.408601 0.5
-1.23251 0.496547 0.26405 0.1
-1.37346 0.440587 0.137181 0.1
-1.60678 0.548563 0.0964607 0.1
-1.31794 0.447659 0.532131 0.1
