ITEM: TIMESTEP
1400
ITEM: NUMBER OF ATOMS
2305
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.912394 -2.75285 0.119759 0.1
-0.759488 -2.6121 0.107269 0.1
-0.209968 -2.52448 0.438011 0.5
0.753184 -2.43993 0.410718 0.5
1.40885 -2.46646 0.10151 0.1
-1.15014 -2.24279 0.430473 0.5
0.0673328 -1.8427 0.09971 0.1
0.364813 -2.02534 0.093322 0.1
-0.104965 -1.98641 0.10884 0.1
0.253327 -2.37005 0.0951448 0.1
0.059768 -2.09448 0.0980128 0.1
1.08516 -2.03738 0.103861 0.1
0.887866 -1.90781 0.101986 0.1
1.61956 -1.99412 0.412845 0.5
1.24649 -2.33137 0.0947384 0.1
2.12983 -1.96985 0.0994638 0.1
2.34215 -1.71403 0.105454 0.1
-2.61796 -1.28212 0.0897926 0.1
-2.50604 -1.44632 0.107279 0.1
-2.40657 -1.61869 0.0975695 0.1
-2.31994 -1.37137 0.0956571 0.1
-1.91419 -1.68316 0.430118 0.5
-1.39512 -1.76204 0.113142 0.1
-0.944012 -1.54098 0.0984795 0.1
-0.646299 -1.13859 0.0968521 0.1
-0.43394 -1.59347 0.458786 0.5
-0.0388081 -1.179 0.14998 0.15
0.483372 -1.52889 0.39408 0.5
0.964816 -1.71407 0.0995613 0.1
1.00736 -1.50942 0.0954082 0.1
1.191 -1.61713 0.10351 0.1
1.13299 -1.84385 0.0972696 0.1
2.23972 -1.22345 0.437508 0.5
2.03871 -1.67258 0.09827 0.1
1.79782 -1.51275 0.0983324 0.1
1.42973 1.58417 2.62102 0.1
1.42554 1.99659 2.86057 0.1
2.5653 -1.35506 0.0366695 0.1
-1.89795 -0.960724 0.0975693 0.1
-2.38973 -0.860058 0.419047 0.5
-1.68904 -0.913925 0.113069 0.1
-1.52132 -0.495328 0.159709 0.1
-1.74038 -0.662146 0.146234 0.15
-1.86519 -1.17186 0.0973416 0.1
-1.16 -1.05543 0.389704 0.5
-0.828121 -0.652004 0.104613 0.1
-0.453487 -1.0315 0.097707 0.1
-0.653481 -0.914182 0.0984416 0.1
-0.286931 -1.14497 0.0975519 0.1
-0.289315 -0.907112 0.0977999 0.1
-0.218042 -1.03504 0.244294 0.1
-0.625802 -0.764292 0.351776 0.1
-0.54201 -0.658571 0.145609 0.15
-0.572754 -1.03023 0.251992 0.1
-0.0976701 -0.940607 0.108606 0.1
-0.161773 -1.03715 0.425879 0.1
0.135992 -0.984477 0.0961724 0.1
0.0917468 -1.00429 0.289739 0.1
0.580215 -0.911887 0.118712 0.1
0.553207 -0.495038 0.114458 0.1
0.280849 -0.92009 0.227203 0.1
0.3717 -0.78307 0.101094 0.1
0.40982 -1.01137 0.109131 0.1
0.871174 -0.808447 0.102153 0.1
1.03871 -0.618719 0.100987 0.1
0.773005 -0.979231 0.0935084 0.1
0.651492 -0.729949 0.0946728 0.1
1.30163 -1.10417 0.41769 0.5
1.72373 -0.766285 0.160684 0.1
2.0153 -0.669701 0.448153 0.1
2.21343 -0.713591 0.110717 0.1
1.99216 -0.771866 0.0995719 0.1
1.77595 -0.951347 0.101066 0.1
2.50425 -0.815059 0.0927012 0.1
2.70572 -0.980932 0.102699 0.1
-2.80315 -0.35392 0.101339 0.1
-2.83863 -0.0654499 0.138166 0.1
-2.80518 0.277451 0.0949696 0.1
-2.14118 -0.314301 0.12461 0.1
-1.31888 -0.54266 0.105554 0.1
-0.862242 -0.141161 0.416051 0.5
-0.529797 0.23203 0.0952967 0.1
-0.377712 0.356526 0.100511 0.1
0.00968311 -0.414649 0.388653 0.5
1.05718 -0.21589 0.103455 0.1
0.840998 -0.173342 0.0990076 0.1
0.838121 -0.553017 0.0971923 0.1
0.724233 -0.358766 0.0997937 0.1
0.569543 -0.236702 0.106685 0.1
0.925899 -0.364781 0.0969808 0.1
0.933403 0.0663475 0.0992138 0.1
1.11431 -0.0206539 0.100085 0.1
1.12098 -0.433486 0.0981637 0.1
1.62003 -0.20404 0.363472 0.5
1.24758 -0.587765 0.0967009 0.1
2.08191 -0.52049 0.0958024 0.1
2.54591 -0.325986 0.426229 0.5
-2.48102 0.120115 0.114736 0.1
-1.99692 0.534186 0.101448 0.1
-1.77131 0.0838288 0.431666 0.5
-1.24109 0.444758 0.0964075 0.1
-1.45617 0.463035 0.0937465 0.1
-1.63581 0.558122 0.0948153 0.1
-1.36716 0.527424 0.265695 0.1
-1.03885 0.394457 0.0960831 0.1
-1.33789 0.523212 0.463023 0.1
-1.22856 0.222503 0.0986259 0.1
-1.33363 0.618237 0.0939355 0.1
-0.369742 -0.0436001 0.10591 0.1
0.188112 0.473607 0.415677 0.5
-0.224588 0.106162 0.0951745 0.1
1.09087 0.565698 0.390109 0.5
0.682281 0.0503344 0.147145 0.15
1.67391 0.515397 0.0926806 0.1
2.07108 0.405305 0.0941097 0.1
2.5238 0.196902 0.0975284 0.1
2.33577 0.137908 0.0987758 0.1
2.13044 -0.0338098 0.0969271 0.1
2.01778 0.177479 0.101664 0.1
2.18043 0.176804 0.232598 0.1
1.87667 0.423457 0.103916 0.1
2.8928 0.0521987 0.0976156 0.1
2.71783 0.229705 0.0992912 0.1
2.86138 0.409206 0.09913 0.1
2.88813 0.21757 0.218686 0.1
-2.44744 0.750577 0.447229 0.5
-1.5682 1.07513 0.391947 0.5
-0.690313 0.751197 0.424201 0.5
-1.18069 0.745119 0.0883877 0.1
-1.03916 1.17519 0.097439 0.1
-0.266717 1.43596 0.098183 0.1
-0.261208 1.02744 0.0958146 0.1
0.40425 0.900775 0.0836894 0.1
0.13421 1.01554 0.107556 0.1
-0.129868 0.983616 0.231752 0.1
0.593678 0.790569 0.0975164 0.1
1.11579 1.19455 0.538881 0.1
1.87101 0.732087 0.157084 0.15
2.45196 0.701987 0.440655 0.5
-2.40159 1.57145 0.104408 0.1
-2.54139 1.2424 0.1386 0.1
-1.6513 1.62188 0.0993765 0.1
-2.07182 1.60011 0.120849 0.1
