ITEM: TIMESTEP
4200
ITEM: NUMBER OF ATOMS
6681
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.970506 -2.73819 0.0949476 0.1
-0.728086 -2.54456 0.0954382 0.1
-0.781087 -2.72874 0.141507 0.1
-0.625965 -2.83661 0.0925915 0.1
-0.2104 -2.5421 0.392022 0.5
0.29186 -2.70449 0.098089 0.1
0.418606 -2.85876 0.0987871 0.1
0.179696 -2.89161 0.0993863 0.1
0.767695 -2.45298 0.383447 0.5
1.45606 -2.49198 0.0981499 0.1
1.1814 0.52309 4.24788 0.15
-1.4319 -1.8279 0.0942792 0.1
-1.16005 -2.26423 0.396711 0.5
-0.872716 -1.8429 0.089418 0.1
-0.607557 -2.15044 0.594813 0.1
-0.155054 -2.0349 0.0864048 0.1
0.0455439 -1.86827 0.0980579 0.1
0.374642 -2.09495 0.0987937 0.1
0.264651 -2.38388 0.0852946 0.1
0.0312798 -2.09768 0.0897244 0.1
0.241695 -2.10399 0.527944 0.15
0.191485 -2.00934 0.145775 0.1
0.203751 -2.19839 0.0976698 0.1
1.13155 -2.08441 0.0902994 0.1
0.85512 -1.94286 0.0910943 0.1
1.15488 -1.84037 0.0906233 0.1
1.02553 -1.95148 0.188427 0.1
1.0374 -1.91995 0.408147 0.1
1.63083 -2.00093 0.396561 0.5
1.27255 -2.35641 0.0887787 0.1
2.14491 -1.95353 0.0967824 0.1
2.24395 -1.83962 0.228594 0.1
-2.62784 -1.28408 0.0819365 0.1
-2.50919 -1.44131 0.09822 0.1
-2.41416 -1.61473 0.0935143 0.1
-2.31925 -1.38491 0.095175 0.1
-1.92019 -1.69819 0.408961 0.5
-1.34957 -1.66269 0.233803 0.1
-1.24737 -1.75783 0.0943398 0.1
-1.2588 -1.67369 0.409436 0.1
-1.43592 -1.55474 0.0933756 0.1
-0.944984 -1.58766 0.0984093 0.1
-1.04937 -1.75754 0.096641 0.1
-1.152 -1.67374 0.242131 0.1
-1.01907 -1.68164 0.387033 0.1
-0.425023 -1.61826 0.398561 0.5
0.49826 -1.54312 0.342972 0.5
0.987333 -1.74614 0.0882048 0.1
1.02713 -1.51881 0.0845963 0.1
1.1488 -1.65429 0.159947 0.1
1.12769 -1.67668 0.422746 0.1
1.04413 -1.77541 0.274116 0.1
1.32227 -1.60487 0.0845469 0.1
1.73027 -1.4412 0.0983258 0.1
2.3354 -1.72041 0.0970891 0.1
2.2456 -1.2308 0.427927 0.5
1.97345 -1.62689 0.0882212 0.1
2.12313 -1.75518 0.0972337 0.1
2.56957 -1.35119 0.030898 0.1
-2.39586 -0.872993 0.392856 0.5
-1.94579 -1.18102 0.0984425 0.1
-1.84915 -0.969436 0.0977965 0.1
-1.54481 -0.689532 0.0983823 0.1
-1.7152 -1.1416 0.0988904 0.1
-0.631806 -1.15318 0.0924095 0.1
-1.16662 -1.08596 0.341356 0.5
-0.789925 -0.698059 0.0937275 0.1
-0.666389 -0.895259 0.0918213 0.1
-0.614221 -0.859602 0.30595 0.1
-0.00863872 -1.20131 0.141792 0.15
-0.439568 -1.11027 0.0931108 0.1
-0.243107 -1.13637 0.0960245 0.1
-0.28343 -0.884844 0.0941796 0.1
-0.127929 -0.985725 0.156318 0.1
-0.549619 -0.685294 0.142536 0.15
-0.557986 -1.03562 0.234056 0.1
-0.0142273 -1.02367 0.314631 0.1
-0.328927 -1.02253 0.233205 0.1
-0.474248 -0.917557 0.0977608 0.1
-0.414251 -0.847624 0.272503 0.1
-0.541448 -0.670698 0.389846 0.1
0.0590726 -0.967543 0.0956924 0.1
0.207427 -1.09558 0.0916838 0.1
0.174479 -0.993646 0.256586 0.1
0.250055 -0.90766 0.0931441 0.1
0.402977 -0.785144 0.0913553 0.1
0.425095 -1.00172 0.0976639 0.1
0.357468 -0.905079 0.25859 0.1
0.553646 -0.935707 0.255315 0.1
0.478129 -0.791294 0.368033 0.1
0.588893 -0.827794 0.0926318 0.1
0.549371 -0.680995 0.219786 0.1
0.55809 -0.956845 0.451902 0.1
0.909101 -0.809132 0.0824265 0.1
1.04285 -0.662695 0.097327 0.1
0.814508 -0.983728 0.0928691 0.1
0.704707 -0.639775 0.0962731 0.1
0.726966 -0.998286 0.330577 0.1
0.622831 -1.02087 0.092276 0.1
0.848799 -0.702379 0.213426 0.1
0.733661 -0.851295 0.211794 0.1
0.749423 -0.955376 0.516159 0.1
1.30893 -1.10756 0.395081 0.5
1.71037 -0.768129 0.0983969 0.1
1.9327 -0.725789 0.243847 0.1
2.2633 -0.744906 0.0896888 0.1
1.91133 -0.856472 0.0972195 0.1
1.80527 -1.02175 0.0887311 0.1
2.06664 -0.734474 0.0981616 0.1
2.57876 -0.856699 0.0984966 0.1
2.7092 -1.01931 0.0983451 0.1
2.78208 -0.806474 0.0983863 0.1
-2.85449 -0.473234 0.102708 0.1
-2.74738 -0.277644 0.0997814 0.1
-2.53981 -0.284461 0.0966347 0.1
-2.57402 -0.0727614 0.0976716 0.1
-2.84056 -0.0820114 0.108312 0.1
-2.24387 -0.198713 0.0971508 0.1
-2.05712 -0.383953 0.0982127 0.1
-1.80569 -0.586851 0.146699 0.15
-1.40858 -0.309519 0.0986256 0.1
-1.36585 -0.566783 0.0987393 0.1
-0.872169 -0.17043 0.356845 0.5
-0.360822 -0.0250168 0.0917621 0.1
0.00502149 -0.425923 0.335192 0.5
0.549716 -0.328838 0.0982053 0.1
0.541563 -0.527275 0.0957466 0.1
0.390642 -0.0341491 0.0971941 0.1
0.510185 -0.0269066 0.256413 0.1
0.565256 -0.130753 0.0975778 0.1
0.717907 -0.436773 0.0984655 0.1
1.07853 -0.2596 0.0972225 0.1
0.910024 -0.153349 0.0943343 0.1
0.881921 -0.54779 0.0968238 0.1
0.731499 -0.238891 0.0979382 0.1
0.901411 -0.350813 0.0981286 0.1
1.07214 -0.461876 0.0985422 0.1
0.829641 -0.0453677 0.233733 0.1
1.04787 -0.115629 0.23089 0.1
1.22924 -0.595402 0.0963572 0.1
1.63075 -0.215635 0.322335 0.5
2.08071 -0.536526 0.0959268 0.1
2.1485 -0.0217983 0.0958577 0.1
2.54888 -0.335606 0.408281 0.5
-2.71956 0.16236 0.0978083 0.1
-2.35349 0.166693 0.0983375 0.1
-1.77912 0.0660683 0.38858 0.5
-1.4146 0.421264 0.0904379 0.1
-1.57611 0.549378 0.0981089 0.1
-1.29698 0.476831 0.239545 0.1
-1.40814 0.532236 0.393384 0.1
-1.28187 0.158906 0.0876847 0.1
-1.22937 0.492772 0.46419 0.1
-1.23405 0.346619 0.0958754 0.1
-1.23236 0.299461 0.430551 0.1
-1.17879 0.533736 0.0920541 0.1
-1.03744 0.338135 0.0944919 0.1
-1.13937 0.357003 0.265949 0.1
-0.543427 0.246557 0.0916296 0.1
-0.337938 0.365123 0.0929397 0.1
-0.187497 0.083322 0.0943512 0.1
-0.363577 0.171456 0.0924269 0.1
-0.309281 0.0741747 0.251618 0.1
-0.366218 0.264494 0.262549 0.1
-0.430912 0.222357 0.442342 0.1
-0.273844 0.100395 0.440272 0.1
-0.38256 0.117002 0.60118 0.1
-0.343337 0.323637 0.588192 0.1
0.187227 0.467929 0.352012 0.5
1.12353 0.00791076 0.0963101 0.1
0.920186 0.0437827 0.0918884 0.1
1.09561 0.552249 0.34154 0.5
0.674152 0.115409 0.134648 0.15
0.733513 0.0708015 0.360172 0.1
0.674751 0.16578 0.523837 0.1
1.60406 0.345755 0.0984679 0.1
1.78385 0.466396 0.0982825 0.1
1.97946 0.507053 0.0976596 0.1
2.31082 0.198136 0.0974184 0.1
