ITEM: TIMESTEP
400
ITEM: NUMBER OF ATOMS
700
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
2.2973 1.06689 1.61987 0.5
2.51778 0.480468 0.889619 0.5
1.82164 0.264906 2.00588 0.1
-0.993518 -0.220667 0.971965 0.1
1.68225 2.28966 0.114756 0.1
-0.14758 0.810722 1.22772 0.1
2.44032 1.22728 1.04373 0.1
-0.1667 1.19623 1.76938 0.1
1.25842 0.586829 2.04987 0.15
-2.00806 -0.824121 0.550171 0.1
0.287934 -0.68943 2.78042 0.1
-1.46326 1.23952 2.06265 0.1
0.335613 -0.353135 1.74751 0.1
-2.39202 1.68409 2.4139 0.1
1.19002 0.593327 2.77786 0.1
0.26121 -0.426111 0.303352 0.1
-1.53667 1.34425 3.07656 0.5
-0.257591 -1.32594 3.05432 0.5
0.9665 1.71673 3.16647 0.5
-1.54644 2.06838 2.63235 0.1
0.581943 0.723718 3.09812 0.1
0.0992011 0.0701658 0.339247 0.15
0.746527 -1.11888 3.5218 0.1
1.42216 -1.68078 1.95583 0.1
0.420063 -1.10206 1.01587 0.1
1.09831 -1.56037 0.580279 0.1
0.315944 1.33904 0.563381 0.1
-1.2419 -1.56409 0.322801 0.5
0.431959 -1.28907 0.311724 0.1
-2.15962 -0.897424 2.46664 0.1
0.434003 0.267344 0.793534 0.5
-0.455705 2.54483 0.826795 0.5
0.281753 -1.16252 0.277001 0.1
1.65264 -0.126763 3.55158 0.15
2.26208 2.0886 2.9214 0.1
-0.83959 1.00509 3.37439 0.1
0.145687 0.568045 3.69201 0.1
-2.0853 0.969547 1.70751 0.1
-0.379508 0.971577 0.569289 0.1
-1.8652 2.50998 3.46907 0.1
-0.634282 -1.61729 1.11595 0.1
-0.325884 -1.38721 1.28562 0.1
1.71436 0.38513 1.8149 0.1
1.52643 -0.611411 0.111341 0.1
-1.14862 -0.673561 0.185243 0.1
2.86331 0.362792 1.79646 0.5
-0.611984 -1.51742 0.831381 0.1
2.67447 0.625008 2.87498 0.1
0.504847 0.890378 0.0564544 0.1
-2.53262 -0.670595 3.00405 0.1
-0.112132 0.321868 1.7192 0.1
0.84481 -1.27606 0.0201543 0.15
1.08576 -0.602496 1.92084 0.5
-0.229597 1.20465 0.184632 0.1
0.316448 0.373136 2.39186 0.15
0.507126 1.20834 2.03963 0.1
-0.798184 0.979942 1.07376 0.1
-0.0895515 0.553433 0.893954 0.1
1.69947 -0.453702 0.464576 0.1
0.812729 1.40451 0.257014 0.5
-0.214695 1.01217 1.53592 0.1
1.66749 -0.133935 0.761773 0.15
-0.0487286 0.490071 1.91299 0.1
1.7276 -0.261142 1.44273 0.1
-1.40329 0.308626 0.786184 0.1
1.05791 -2.51163 0.557448 0.5
-0.351006 0.791595 0.798068 0.1
-0.14587 1.27871 0.576878 0.1
0.709332 1.25485 1.0444 0.1
-0.0687914 -1.49132 2.43768 0.1
-0.456794 -1.33677 0.182299 0.1
-0.956416 0.435356 0.884149 0.1
-2.47903 -0.555179 1.56977 0.5
0.686419 0.41269 4.22481 0.1
-0.180581 0.981163 0.504726 0.1
-0.258976 0.132857 2.49005 0.5
0.84359 -1.78484 0.128482 0.1
-0.823115 -1.26456 0.798504 0.1
-0.73198 -1.26082 2.15727 0.1
2.2638 -1.08471 2.46523 0.1
-0.261168 -1.60112 2.01504 0.1
2.23887 0.0973634 2.02457 0.1
1.37105 -0.00855085 1.46953 0.1
-0.137258 -0.231653 0.977083 0.1
-1.10221 0.968086 0.889311 0.1
-0.958356 -0.154243 1.25735 0.1
1.28653 -1.51475 0.974977 0.5
-1.51139 0.713987 1.21225 0.1
1.62547 -0.600449 1.37009 0.1
0.964864 1.81147 0.812584 0.1
-0.881042 0.3248 3.22558 0.1
-1.71906 0.0191005 1.33513 0.1
0.0921572 0.384212 1.15458 0.1
-0.060655 -0.93625 1.26758 0.5
-0.894079 -0.791296 2.70976 0.1
0.311099 -1.54472 2.02542 0.1
-0.652034 0.246505 2.00789 0.1
0.243467 0.997787 0.969558 0.1
0.273817 0.349533 1.2999 0.1
-1.52464 0.803856 0.498052 0.1
0.4481 1.22053 1.13447 0.1
-0.930717 1.88484 0.947599 0.5
-1.05628 0.546058 1.70778 0.1
1.59874 0.715302 1.37889 0.1
1.7074 0.244161 1.13047 0.1
-0.291735 0.867377 2.94786 0.1
2.45493 1.63682 1.75388 0.1
-1.1439 -1.58097 1.40539 0.1
-0.494287 -2.04238 1.62648 0.5
0.857138 2.04583 0.899522 0.1
0.279689 0.726169 1.1136 0.1
1.36501 0.84697 1.59345 0.1
0.652024 -0.436147 1.61523 0.1
-1.91034 -1.57581 1.586 0.1
-0.85552 0.621946 1.7937 0.1
-1.77506 1.44066 1.47216 0.5
1.62882 0.0831458 0.271945 0.1
1.77455 0.32299 1.45279 0.1
2.16473 -1.14565 2.17477 0.1
-1.86609 1.64657 2.39485 0.1
-1.16383 1.16894 1.50962 0.1
-0.477706 -2.0368 0.60886 0.1
2.82318 1.00594 2.56174 0.1
-0.58976 -0.0178269 1.17585 0.15
0.0291939 -1.97468 0.302841 0.1
-1.22245 -1.3234 2.21016 0.1
1.42426 0.125116 2.51907 0.1
2.30321 0.202814 3.45655 0.1
0.799418 -0.317591 0.224874 0.1
-0.170198 -2.26182 0.783815 0.1
0.986586 1.55063 1.59448 0.1
-0.269021 -0.581637 0.304519 0.1
-0.844962 -0.693265 1.23015 0.5
-0.0247092 0.71242 3.54755 0.1
-0.820835 -0.0463116 1.00271 0.1
-1.35775 0.35191 3.38001 0.1
1.57961 0.376661 1.29429 0.1
0.17188 0.77934 1.7734 0.1
0.996063 0.836242 3.07746 0.15
0.00988552 1.02849 3.40672 0.15
1.02418 -1.99504 2.64249 0.1
0.891122 -1.94262 0.662217 0.1
-1.6144 -0.182942 0.245304 0.5
-0.722136 0.70315 0.364793 0.5
1.33236 0.0207028 0.296806 0.1
-0.587165 -1.16163 2.39291 0.1
-1.17721 -1.30041 0.695119 0.1
1.99087 -0.969907 1.04818 0.1
-0.0878928 0.395026 0.704409 0.1
-1.2458 0.925616 1.05194 0.1
0.431493 0.714101 1.71612 0.1
-1.74563 0.439709 0.776791 0.1
-0.790541 -1.41962 0.781526 0.1
-1.27658 -1.48741 0.766444 0.1
-1.2842 -0.894074 1.56139 0.5
0.105312 1.34169 0.86296 0.1
0.46957 -1.83421 1.12951 0.5
-0.789062 1.51818 1.95991 0.5
