ITEM: TIMESTEP
4800
ITEM: NUMBER OF ATOMS
6993
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.970519 -2.73795 0.095195 0.1
-0.728037 -2.5442 0.0959668 0.1
-0.78123 -2.72865 0.141822 0.1
-0.626013 -2.83639 0.0929214 0.1
-0.210385 -2.54145 0.392815 0.5
0.286767 -2.71239 0.0981522 0.1
0.434749 -2.86503 0.0986724 0.1
0.192359 -2.88901 0.0982596 0.1
0.767461 -2.45249 0.384173 0.5
1.44881 -2.49477 0.0983638 0.1
1.40141 2.55706 3.73347 0.1
-1.43184 -1.82765 0.0946472 0.1
-1.15986 -2.26365 0.397514 0.5
-0.87275 -1.84254 0.0900989 0.1
-0.607483 -2.14981 0.595961 0.1
-0.154967 -2.03446 0.0871205 0.1
0.0482201 -1.87252 0.0983728 0.1
0.376178 -2.07762 0.098218 0.1
0.264617 -2.38355 0.0856425 0.1
0.0314851 -2.09733 0.0898892 0.1
0.241488 -2.10357 0.528962 0.15
0.191618 -2.00873 0.146022 0.1
0.204271 -2.19766 0.0973662 0.1
1.13134 -2.08405 0.0907158 0.1
0.85486 -1.9425 0.0917384 0.1
1.15468 -1.84001 0.0910554 0.1
1.02524 -1.95101 0.188991 0.1
1.03722 -1.91947 0.408929 0.1
1.63051 -2.00046 0.397503 0.5
1.27238 -2.35607 0.0892897 0.1
2.14487 -1.95341 0.0970401 0.1
2.24385 -1.83985 0.228506 0.1
-2.62762 -1.28404 0.0822728 0.1
-2.50916 -1.44123 0.0984621 0.1
-2.41412 -1.61462 0.0938926 0.1
-2.31909 -1.3847 0.0957349 0.1
-1.91992 -1.69783 0.409877 0.5
-1.34951 -1.66225 0.23445 0.1
-1.24741 -1.7575 0.0946449 0.1
-1.25899 -1.67332 0.41063 0.1
-1.43588 -1.55457 0.0939792 0.1
-0.944845 -1.58737 0.0983357 0.1
-1.04941 -1.75714 0.0968409 0.1
-1.152 -1.67322 0.2427 0.1
-1.01928 -1.68136 0.387756 0.1
-0.42513 -1.61753 0.400099 0.5
0.497839 -1.5426 0.344341 0.5
0.987062 -1.74585 0.0888803 0.1
1.02694 -1.51849 0.0854075 0.1
1.14858 -1.65392 0.160634 0.1
1.12756 -1.67615 0.423784 0.1
1.04403 -1.77505 0.27512 0.1
1.32209 -1.60452 0.0851941 0.1
1.69357 -1.48325 0.0984591 0.1
2.33521 -1.72037 0.0974484 0.1
2.24509 -1.23051 0.428899 0.5
1.97324 -1.62673 0.0887561 0.1
2.123 -1.75527 0.0973819 0.1
2.56932 -1.35108 0.0313411 0.1
-2.39552 -0.872881 0.394095 0.5
-1.9611 -1.16724 0.0985965 0.1
-1.86617 -0.908948 0.0979086 0.1
-1.57918 -0.62459 0.0983251 0.1
-1.71415 -1.20978 0.0984825 0.1
-0.631881 -1.15283 0.0930477 0.1
-1.16677 -1.08565 0.342709 0.5
-0.790184 -0.697845 0.0944515 0.1
-0.666453 -0.89499 0.0923474 0.1
-0.614409 -0.859362 0.306395 0.1
-0.00879708 -1.20074 0.142326 0.15
-0.439552 -1.10988 0.0935239 0.1
-0.243092 -1.13597 0.0963566 0.1
-0.283446 -0.884486 0.0945049 0.1
-0.128072 -0.985322 0.156557 0.1
-0.549904 -0.684977 0.143106 0.15
-0.557983 -1.03526 0.234351 0.1
-0.0143963 -1.02299 0.315098 0.1
-0.328198 -1.02124 0.233137 0.1
-0.474163 -0.917187 0.0978876 0.1
-0.41438 -0.847213 0.272888 0.1
-0.523642 -0.702649 0.388997 0.1
0.0589425 -0.967098 0.0960774 0.1
0.207281 -1.09514 0.0921348 0.1
0.174407 -0.993079 0.257123 0.1
0.24988 -0.907176 0.0936692 0.1
0.402853 -0.784885 0.0918059 0.1
0.425131 -1.00103 0.0983127 0.1
0.357354 -0.904101 0.25913 0.1
0.553333 -0.935057 0.255857 0.1
0.478574 -0.790563 0.369171 0.1
0.588759 -0.827591 0.0928031 0.1
0.550047 -0.680561 0.220297 0.1
0.559159 -0.955693 0.452817 0.1
0.908801 -0.808722 0.0830527 0.1
1.04256 -0.662302 0.097762 0.1
0.814364 -0.983331 0.0933396 0.1
0.704436 -0.639416 0.0966653 0.1
0.726535 -0.997729 0.33156 0.1
0.622782 -1.02055 0.0928044 0.1
0.848318 -0.701485 0.214536 0.1
0.733242 -0.850773 0.212404 0.1
0.748893 -0.954205 0.517447 0.1
1.30849 -1.10695 0.396346 0.5
1.72746 -0.763941 0.0983799 0.1
1.93193 -0.725284 0.244302 0.1
2.26283 -0.744759 0.0901346 0.1
1.91059 -0.855861 0.0973029 0.1
1.80498 -1.02149 0.0893679 0.1
2.06602 -0.734115 0.098355 0.1
2.58911 -0.862332 0.0983647 0.1
2.71562 -1.01725 0.0984341 0.1
2.77923 -0.797313 0.0985013 0.1
-2.82319 -0.543318 0.102091 0.1
-2.74284 -0.312801 0.0971631 0.1
-2.52969 -0.319447 0.0974226 0.1
-2.63248 -0.00371867 0.0989551 0.1
-2.89418 -0.075699 0.103722 0.1
-2.26473 -0.264503 0.0992013 0.1
-2.06764 -0.467358 0.0980294 0.1
-1.84809 -0.622874 0.146546 0.15
-1.39131 -0.327697 0.0981359 0.1
-1.37818 -0.562642 0.0984452 0.1
-0.872889 -0.169976 0.357989 0.5
-0.361073 -0.0247 0.0923708 0.1
0.00477509 -0.42519 0.336212 0.5
0.549454 -0.328508 0.0984546 0.1
0.541417 -0.527104 0.0960214 0.1
0.39039 -0.033731 0.0978935 0.1
0.509716 -0.0263732 0.256748 0.1
0.565082 -0.130207 0.0975963 0.1
0.717579 -0.436669 0.0984981 0.1
1.07831 -0.259619 0.0977146 0.1
0.909818 -0.153284 0.0948993 0.1
0.881819 -0.547234 0.0971278 0.1
0.731259 -0.238798 0.0981246 0.1
0.901791 -0.350841 0.0978913 0.1
1.07639 -0.465802 0.0983788 0.1
0.829146 -0.0445774 0.235019 0.1
1.04675 -0.115654 0.23176 0.1
1.2288 -0.595071 0.0972348 0.1
1.63028 -0.214772 0.323447 0.5
2.0806 -0.536319 0.0965444 0.1
2.14829 -0.0213201 0.0961686 0.1
2.54858 -0.335156 0.408615 0.5
-2.7937 0.129064 0.0988054 0.1
-2.31827 0.0447629 0.0983734 0.1
-1.77919 0.0660287 0.389669 0.5
-1.41508 0.421299 0.0905571 0.1
-1.57197 0.5495 0.0983821 0.1
-1.29762 0.477254 0.239483 0.1
-1.40873 0.532395 0.393481 0.1
-1.28217 0.15904 0.0879464 0.1
-1.23015 0.493168 0.464169 0.1
-1.23434 0.346781 0.0959841 0.1
-1.23281 0.300026 0.430735 0.1
-1.17921 0.533967 0.092085 0.1
-1.03783 0.338432 0.0947894 0.1
-1.14002 0.3574 0.266047 0.1
-0.54383 0.246786 0.0922168 0.1
-0.338354 0.365309 0.0935148 0.1
-0.187632 0.0836926 0.0948644 0.1
-0.363804 0.171731 0.0928171 0.1
-0.309622 0.074641 0.252314 0.1
-0.366846 0.264877 0.263273 0.1
-0.431628 0.222838 0.443396 0.1
-0.274287 0.100725 0.441497 0.1
-0.383377 0.117643 0.60257 0.1
-0.344049 0.324473 0.588942 0.1
0.186649 0.468892 0.352662 0.5
1.12249 0.00808137 0.0973566 0.1
0.919661 0.0442291 0.0923941 0.1
1.09499 0.553558 0.341912 0.5
0.673886 0.116371 0.135534 0.15
0.733954 0.0724297 0.361604 0.1
0.674368 0.167225 0.524256 0.1
1.61883 0.357143 0.0984968 0.1
1.78356 0.468695 0.0982414 0.1
1.97893 0.507286 0.0979578 0.1
2.31053 0.198463 0.0977038 0.1
2.08708 0.340798 0.0971209 0.1
1.86627 0.287563 0.0978985 0.1
2.04556 0.148481 0.0962409 0.1
2.18782 0.118481 0.231763 0.1
1.99032 0.260129 0.251109 0.1
2.50847 0.176437 0.0983383 0.1
2.90249 0.0222579 0.0941186 0.1
2.70605 0.151442 0.0978419 0.1
2.87727 0.414845 0.0903747 0.1
2.89284 0.218889 0.098668 0.1
-2.45129 0.755833 0.422637 0.5
-1.91015 0.579845 0.09872 0.1
-2.1227 1.13286 0.0955301 0.1
-1.88327 0.630424 0.53964 0.1
-1.35965 0.608224 0.0953699 0.1
-1.58108 1.10072 0.341524 0.5
-1.2058 0.737956 0.0773444 0.1
-1.25497 0.656394 0.5729 0.1
-0.701444 0.749418 0.364494 0.5
-1.04049 1.15905 0.0948877 0.1
-0.210249 1.12011 0.0984489 0.1
0.410378 0.898361 0.0606308 0.1
0.0544721 1.02818 0.098268 0.1
0.609345 0.816412 0.0988991 0.1
1.13593 1.17702 0.276882 0.1
0.613976 0.827456 0.568984 0.1
1.06706 1.13684 0.0963363 0.1
1.63839 0.60533 0.0974314 0.1
1.25277 1.06904 0.0934334 0.1
1.85522 0.717038 0.14663 0.15
2.46218 0.693052 0.39927 0.5
-2.50797 1.4564 0.0983799 0.1
-2.63072 1.22366 0.0971991 0.1
-2.43696 1.26962 0.098274 0.1
-2.18061 1.62975 0.098083 0.1
-1.88698 1.73411 0.097088 0.1
-2.06335 1.38901 0.0984945 0.1
-1.91192 1.53578 0.0974837 0.1
-2.30918 1.478 0.0983624 0.1
-2.37626 1.6648 0.0981691 0.1
-2.02277 1.65117 0.215705 0.1
-2.23937 1.29249 0.0981438 0.1
-1.71818 1.62882 0.0967779 0.1
-1.31874 1.57601 0.590397 0.1
-0.77631 1.63164 0.346201 0.5
-0.389723 1.244 0.0985291 0.1
-0.227918 1.54669 0.0982808 0.1
-0.196532 1.33652 0.0984422 0.1
-0.00540994 1.42113 0.0984984 0.1
0.0028226 1.66969 0.146487 0.15
-0.0298394 1.21543 0.0986116 0.1
0.573384 1.37558 0.33327 0.5
0.219479 1.81564 0.0984925 0.1
1.11932 1.48843 0.0983229 0.1
1.0283 1.6797 0.0949051 0.1
1.09624 1.66131 0.277094 0.1
1.15478 1.4774 0.312743 0.1
1.1835 1.29911 0.098459 0.1
1.20438 1.61583 0.44342 0.1
1.2833 1.63676 0.0983008 0.1
1.70924 1.2948 0.401709 0.5
2.2484 1.49958 0.098173 0.1
2.38497 1.6501 0.0984437 0.1
2.35422 1.2798 0.146269 0.15
2.11832 1.64993 0.0979779 0.1
1.94737 1.75234 0.0975521 0.1
2.60915 1.25835 0.098611 0.1
2.49296 1.48207 0.0983712 0.1
-2.05021 2.0501 0.0983235 0.1
-2.05212 1.8471 0.098371 0.1
-2.25247 1.82381 0.0984191 0.1
-1.54113 2.10257 0.416447 0.5
-0.957251 2.17652 0.507829 0.1
-0.999671 2.28398 0.0982732 0.1
-0.226683 1.83608 0.0988219 0.1
-0.0251581 2.31791 0.0982978 0.1
-0.0938604 2.12883 0.0984454 0.1
0.0378146 1.93911 0.0984198 0.1
0.542948 1.96173 0.0981602 0.1
0.118455 2.13384 0.0984349 0.1
0.302489 2.03505 0.09846 0.1
0.784342 2.04849 0.120777 0.15
0.943117 1.85861 0.0980795 0.1
0.771449 1.97529 0.375188 0.15
1.37387 2.18252 0.359315 0.5
1.75607 1.80573 0.0962706 0.1
2.26523 1.80999 0.0982826 0.1
1.88088 1.96122 0.098031 0.1
2.12553 1.97414 0.0975864 0.1
2.09978 1.81286 0.21018 0.1
1.99896 2.0582 0.225724 0.1
1.91163 2.18208 0.0972799 0.1
