ITEM: TIMESTEP
4100
ITEM: NUMBER OF ATOMS
6668
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.970699 -2.73798 0.0951858 0.1
-0.728232 -2.54423 0.0958648 0.1
-0.781231 -2.72867 0.141817 0.1
-0.626013 -2.83645 0.0928008 0.1
-0.210504 -2.54155 0.392519 0.5
0.297294 -2.69785 0.0981727 0.1
0.419938 -2.86443 0.0986534 0.1
0.179177 -2.89417 0.09698 0.1
0.767424 -2.45259 0.383871 0.5
1.44534 -2.49299 0.0986783 0.1
1.18093 0.525954 4.24847 0.15
-1.43198 -1.82761 0.0947015 0.1
-1.16024 -2.26385 0.397513 0.5
-0.872904 -1.84277 0.089883 0.1
-0.607636 -2.14995 0.595675 0.1
-0.154978 -2.03445 0.086889 0.1
0.0413305 -1.85566 0.098358 0.1
0.379445 -2.09161 0.0987405 0.1
0.264551 -2.38369 0.0855088 0.1
0.0315134 -2.09748 0.0897703 0.1
0.241332 -2.10348 0.528676 0.15
0.191595 -2.00877 0.145913 0.1
0.204261 -2.19785 0.097506 0.1
1.13128 -2.08402 0.0905509 0.1
0.854709 -1.94247 0.0916513 0.1
1.1546 -1.84 0.0909124 0.1
1.02512 -1.95101 0.188866 0.1
1.03696 -1.9195 0.40875 0.1
1.6304 -2.00038 0.397292 0.5
1.27235 -2.35603 0.0891373 0.1
2.14486 -1.95333 0.0970828 0.1
2.24397 -1.83959 0.22869 0.1
-2.62757 -1.284 0.0822805 0.1
-2.50908 -1.44131 0.098637 0.1
-2.41416 -1.61457 0.0938436 0.1
-2.3191 -1.38462 0.0956623 0.1
-1.92014 -1.69774 0.409889 0.5
-1.3498 -1.66223 0.234519 0.1
-1.24761 -1.75757 0.0946847 0.1
-1.25939 -1.67317 0.410166 0.1
-1.43611 -1.55429 0.0939991 0.1
-0.943959 -1.58579 0.0985755 0.1
-1.04951 -1.75714 0.096908 0.1
-1.15235 -1.67324 0.242583 0.1
-1.01965 -1.68101 0.387404 0.1
-0.42552 -1.61766 0.399447 0.5
0.497662 -1.54232 0.343824 0.5
0.98698 -1.74587 0.0887214 0.1
1.02688 -1.51839 0.0852549 0.1
1.14851 -1.65392 0.160502 0.1
1.12722 -1.67612 0.423457 0.1
1.04374 -1.77496 0.274819 0.1
1.32201 -1.60441 0.0850706 0.1
1.73654 -1.43363 0.0985315 0.1
2.33524 -1.72028 0.0974665 0.1
2.24493 -1.23032 0.42887 0.5
1.97316 -1.62663 0.0887232 0.1
2.12307 -1.75504 0.0974752 0.1
2.56928 -1.35104 0.0313812 0.1
-2.39545 -0.872735 0.394077 0.5
-1.94798 -1.18131 0.0988931 0.1
-1.85783 -0.958229 0.0986335 0.1
-1.55527 -0.690331 0.0981683 0.1
-1.71407 -1.14139 0.0989633 0.1
-0.632156 -1.15296 0.0928316 0.1
-1.16682 -1.08546 0.34261 0.5
-0.789833 -0.697809 0.0945392 0.1
-0.666303 -0.895095 0.0923683 0.1
-0.613991 -0.859252 0.306856 0.1
