ITEM: TIMESTEP
1100
ITEM: NUMBER OF ATOMS
1848
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.82943 -2.78147 0.153692 0.1
-0.732507 -2.62624 0.106688 0.1
-0.213247 -2.55361 0.40539 0.5
0.760138 -2.43809 0.390215 0.5
1.35832 -2.53137 0.094035 0.1
-1.15932 -2.27511 0.391212 0.5
0.148988 -1.98455 0.0900966 0.1
0.332781 -2.09274 0.0964289 0.1
-0.0528332 -2.06857 0.105311 0.1
0.273304 -2.27597 0.0933355 0.1
0.146474 -2.14971 0.169534 0.1
1.13596 -2.09496 0.0922615 0.1
1.01277 -1.91012 0.307485 0.1
1.62508 -2.00124 0.40745 0.5
1.26129 -2.33601 0.0885548 0.1
2.16689 -1.92511 0.109001 0.1
2.26105 -1.82915 0.254679 0.1
-2.60534 -1.28598 0.0860574 0.1
-2.44834 -1.44962 0.278269 0.1
-2.4236 -1.58572 0.109902 0.1
-2.38803 -1.3739 0.0913588 0.1
-1.90942 -1.69043 0.407268 0.5
-1.39663 -1.79745 0.0886013 0.1
-1.10747 -1.65403 0.116983 0.1
-0.636198 -1.09357 0.0961351 0.1
-0.431516 -1.63757 0.412392 0.5
-0.0275249 -1.25159 0.117739 0.15
0.496349 -1.57548 0.325731 0.5
1.10721 -1.75297 0.24363 0.1
1.008 -1.5112 0.0721234 0.1
1.23323 -1.68609 0.0997518 0.1
1.09322 -1.90723 0.122103 0.1
2.22273 -1.23843 0.425716 0.5
2.05905 -1.72694 0.0996519 0.1
1.75572 -1.41162 0.0983252 0.1
2.52756 1.93101 0.234117 0.1
0.533216 1.03581 2.94399 0.1
2.56529 -1.35255 0.0362871 0.1
-1.662 -0.852292 0.104032 0.1
-2.37199 -0.866875 0.422267 0.5
-1.77232 -1.03694 0.271187 0.1
-1.57172 -0.607004 0.285045 0.1
-1.80085 -0.604959 0.181016 0.15
-1.69618 -1.11577 0.0876697 0.1
-1.16851 -1.05539 0.365074 0.5
-0.787371 -0.68581 0.0946951 0.1
-0.446237 -1.10158 0.131762 0.1
-0.631799 -0.894138 0.0874633 0.1
-0.259833 -1.16395 0.0992116 0.1
-0.291056 -0.936383 0.0906982 0.1
-0.312888 -1.01673 0.258012 0.1
-0.657729 -0.756156 0.332782 0.1
-0.534821 -0.675086 0.140962 0.15
-0.57003 -0.938397 0.266312 0.1
-0.134063 -1.03003 0.173114 0.1
-0.365044 -1.05478 0.486956 0.1
0.105681 -1.0051 0.0843455 0.1
-0.062784 -1.19074 0.3189 0.1
0.537542 -0.79167 0.305564 0.1
0.610877 -0.688081 0.108796 0.1
0.108577 -1.09129 0.249867 0.1
0.513098 -0.864881 0.097042 0.1
0.331358 -0.933506 0.0918376 0.1
0.777636 -0.926026 0.117508 0.1
0.895303 -0.764219 0.111341 0.1
0.624868 -1.03669 0.0908458 0.1
0.698268 -0.999901 0.282596 0.1
1.30305 -1.12091 0.359603 0.5
1.80936 -0.806828 0.282379 0.1
2.03848 -0.74505 0.697467 0.1
2.2632 -0.755345 0.0898976 0.1
1.94043 -0.723549 0.130632 0.1
1.75971 -0.856997 0.0995373 0.1
2.61453 -0.882112 0.0959501 0.1
2.71853 -0.957965 0.26059 0.1
-2.81759 -0.482703 0.143465 0.1
-2.88533 -0.211264 0.0792785 0.1
-2.34724 -0.0516306 0.34387 0.1
-2.48817 -0.112723 0.155377 0.1
-1.51176 -0.528771 0.112685 0.1
-0.86141 -0.185132 0.418227 0.5
-0.469933 0.23835 0.107257 0.1
-0.268089 0.245752 0.107691 0.1
0.0416162 -0.464698 0.327553 0.5
0.978086 -0.233866 0.184058 0.1
0.687501 -0.370119 0.17712 0.1
0.758049 -0.78228 0.240201 0.1
0.568336 -0.476471 0.078681 0.1
0.549633 -0.27106 0.0919833 0.1
0.833019 -0.441507 0.0895686 0.1
0.917175 0.06471 0.0947209 0.1
0.814508 -0.116356 0.257263 0.1
1.033 -0.477938 0.111638 0.1
1.63074 -0.198657 0.350216 0.5
1.21642 -0.594895 0.0886434 0.1
