ITEM: TIMESTEP
4000
ITEM: NUMBER OF ATOMS
6572
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.970509 -2.73756 0.0953905 0.1
-0.727875 -2.54383 0.0964147 0.1
-0.781292 -2.72851 0.142122 0.1
-0.625918 -2.83621 0.0931167 0.1
-0.210315 -2.54091 0.393383 0.5
0.296848 -2.6939 0.0981714 0.1
0.421211 -2.86947 0.0982362 0.1
0.179932 -2.88972 0.100192 0.1
0.767383 -2.45218 0.384686 0.5
1.433 -2.49791 0.0990362 0.1
1.58434 -2.67479 0.405926 0.1
-1.43162 -1.827 0.0949205 0.1
-1.15965 -2.26271 0.397982 0.5
-0.872438 -1.84167 0.0908407 0.1
-0.607218 -2.14888 0.59693 0.1
-0.154698 -2.03383 0.0878454 0.1
0.0499048 -1.86882 0.0987538 0.1
0.379836 -2.07473 0.0982367 0.1
0.264579 -2.38324 0.0859487 0.1
0.0319751 -2.09695 0.0900537 0.1
0.241677 -2.10308 0.530457 0.15
0.192207 -2.0079 0.147 0.1
0.204896 -2.197 0.0974559 0.1
1.13125 -2.0838 0.0909811 0.1
0.85476 -1.94221 0.0924249 0.1
1.15463 -1.8398 0.0912255 0.1
1.02526 -1.95071 0.189464 0.1
1.03723 -1.91904 0.409574 0.1
1.63041 -2.00026 0.397935 0.5
1.2723 -2.35584 0.0895638 0.1
2.14487 -1.95329 0.097218 0.1
2.24393 -1.83971 0.2287 0.1
-2.6273 -1.28372 0.082713 0.1
-2.50922 -1.44098 0.0984895 0.1
-2.41407 -1.61424 0.094067 0.1
-2.31882 -1.38406 0.0962201 0.1
-1.91954 -1.69667 0.410505 0.5
-1.34902 -1.66108 0.235063 0.1
-1.24721 -1.75647 0.0947167 0.1
-1.25794 -1.67206 0.410936 0.1
-1.43545 -1.5535 0.0948531 0.1
-0.94213 -1.58248 0.0984717 0.1
-1.04913 -1.75593 0.0968616 0.1
-1.15118 -1.67179 0.243025 0.1
-1.01869 -1.68001 0.388475 0.1
-0.424323 -1.61588 0.401513 0.5
0.498398 -1.54151 0.346031 0.5
0.987109 -1.74567 0.0893271 0.1
1.0271 -1.51805 0.0860804 0.1
1.14878 -1.65356 0.161028 0.1
1.12741 -1.67584 0.424312 0.1
1.04415 -1.77465 0.275551 0.1
1.32206 -1.60412 0.085583 0.1
1.74272 -1.42607 0.0985811 0.1
2.33532 -1.7203 0.0976471 0.1
2.24504 -1.2304 0.429473 0.5
1.97318 -1.62664 0.0890667 0.1
2.12312 -1.75507 0.0975468 0.1
2.56922 -1.35099 0.0315404 0.1
-2.39485 -0.87149 0.394693 0.5
-1.95014 -1.1816 0.098753 0.1
-1.8667 -0.947121 0.0991574 0.1
-1.56571 -0.691182 0.0980621 0.1
-1.72268 -1.14149 0.0988206 0.1
-0.631435 -1.1519 0.093397 0.1
-1.16584 -1.08356 0.344006 0.5
-0.789547 -0.696788 0.0951145 0.1
-0.666 -0.894229 0.0925678 0.1
-0.6135 -0.858459 0.307025 0.1
-0.00828258 -1.1999 0.142882 0.15
-0.439046 -1.10907 0.0936764 0.1
-0.242552 -1.13532 0.0964873 0.1
-0.282708 -0.88404 0.0956929 0.1
-0.127531 -0.985027 0.157566 0.1
-0.548925 -0.684562 0.144334 0.15
-0.557731 -1.03431 0.234457 0.1
-0.0132234 -1.02235 0.316539 0.1
-0.328057 -1.02106 0.233721 0.1
-0.4736 -0.916532 0.0982529 0.1
-0.413731 -0.847147 0.27433 0.1
-0.545039 -0.679301 0.392387 0.1
0.0597235 -0.966525 0.0971028 0.1
0.207623 -1.09444 0.0925915 0.1
0.175173 -0.992673 0.258449 0.1
0.250573 -0.906739 0.0947546 0.1
0.403781 -0.784482 0.0928154 0.1
0.425524 -1.00083 0.0983257 0.1
0.358201 -0.905374 0.260252 0.1
0.554364 -0.934776 0.256377 0.1
0.479074 -0.790309 0.369565 0.1
0.589292 -0.827089 0.0928002 0.1
0.549556 -0.68055 0.220293 0.1
0.560364 -0.95439 0.453231 0.1
0.909066 -0.807513 0.0842725 0.1
1.04297 -0.661663 0.0983744 0.1
0.814843 -0.982334 0.0939692 0.1
0.704984 -0.638221 0.0971753 0.1
0.727436 -0.996449 0.332472 0.1
0.623324 -1.01992 0.0931697 0.1
0.848884 -0.699279 0.216817 0.1
0.733942 -0.849317 0.212828 0.1
0.748987 -0.9531 0.519395 0.1
1.30874 -1.10658 0.397818 0.5
1.70696 -0.76851 0.0982587 0.1
1.93194 -0.725295 0.244838 0.1
2.26266 -0.744593 0.0905364 0.1
1.91055 -0.855511 0.0973762 0.1
1.80504 -1.0213 0.0899385 0.1
2.06585 -0.733723 0.0984201 0.1
2.58535 -0.86153 0.0986506 0.1
2.70942 -1.02449 0.0984409 0.1
2.78338 -0.810447 0.0985379 0.1
-2.84851 -0.456976 0.103132 0.1
-2.78137 -0.259726 0.100573 0.1
-2.58225 -0.294562 0.100081 0.1
-2.55024 -0.0928039 0.0983041 0.1
-2.7902 -0.0552731 0.10171 0.1
-2.28388 -0.221042 0.0991634 0.1
-2.05769 -0.403065 0.0990115 0.1
-1.79004 -0.573717 0.146915 0.15
-1.41114 -0.329693 0.0979188 0.1
-1.38077 -0.552696 0.0979048 0.1
-0.871508 -0.168537 0.360252 0.5
-0.360449 -0.0242962 0.0934888 0.1
0.00594695 -0.424119 0.338854 0.5
0.550182 -0.328189 0.0983106 0.1
0.5421 -0.526675 0.0967759 0.1
0.390266 -0.0324394 0.0979011 0.1
0.508901 -0.0271072 0.257322 0.1
0.564325 -0.129933 0.0973632 0.1
0.718034 -0.436625 0.0984856 0.1
1.0782 -0.259556 0.0981303 0.1
0.909752 -0.153713 0.0960111 0.1
0.882535 -0.546534 0.097558 0.1
0.730715 -0.238789 0.0983828 0.1
0.901758 -0.350855 0.0978467 0.1
1.07921 -0.462566 0.0983036 0.1
0.829957 -0.0443846 0.238023 0.1
1.04698 -0.115967 0.233404 0.1
1.22918 -0.594696 0.0982222 0.1
1.63052 -0.21472 0.325788 0.5
2.08044 -0.535977 0.0971072 0.1
2.14814 -0.0212693 0.0967844 0.1
2.54855 -0.335009 0.409511 0.5
-2.69789 0.174795 0.0988288 0.1
-2.37927 0.204286 0.0983423 0.1
-1.77765 0.068173 0.391802 0.5
-1.41408 0.422189 0.0911711 0.1
-1.57063 0.549138 0.0986765 0.1
-1.297 0.478966 0.240471 0.1
-1.40711 0.534443 0.395204 0.1
-1.28118 0.159985 0.0889665 0.1
-1.22867 0.494884 0.465847 0.1
-1.23324 0.34743 0.0965137 0.1
-1.23128 0.301838 0.432283 0.1
-1.17819 0.534518 0.0931966 0.1
-1.03675 0.339172 0.0960449 0.1
-1.13838 0.358556 0.267771 0.1
-0.542764 0.247517 0.0935966 0.1
-0.337556 0.365813 0.0952742 0.1
-0.187349 0.0840216 0.0962164 0.1
-0.363068 0.172285 0.0937678 0.1
-0.308558 0.0754975 0.25382 0.1
-0.365573 0.265833 0.265741 0.1
-0.430055 0.223536 0.446064 0.1
-0.273135 0.100994 0.444162 0.1
-0.380922 0.11839 0.605739 0.1
-0.34286 0.325149 0.592469 0.1
0.187735 0.469058 0.355767 0.5
1.12309 0.00799999 0.0980483 0.1
0.919778 0.0436335 0.0933866 0.1
1.09505 0.552787 0.34456 0.5
0.673992 0.115453 0.136803 0.15
0.733685 0.0728607 0.364363 0.1
0.674581 0.167308 0.526623 0.1
1.6257 0.344882 0.0985273 0.1
1.78374 0.466496 0.0982315 0.1
1.97867 0.507103 0.0978388 0.1
2.31059 0.198537 0.0978929 0.1
2.08669 0.340664 0.0973966 0.1
1.86821 0.28614 0.0979029 0.1
2.04545 0.148597 0.0968298 0.1
2.18825 0.118259 0.232008 0.1
1.99077 0.260922 0.252034 0.1
2.50851 0.176748 0.0983594 0.1
2.90246 0.022362 0.0943854 0.1
2.70602 0.151595 0.0981648 0.1
2.87706 0.414814 0.090707 0.1
2.89285 0.218907 0.098713 0.1
-2.45036 0.757177 0.423905 0.5
-1.93815 0.672434 0.0981542 0.1
-2.12199 1.13386 0.0964258 0.1
-1.88159 0.632756 0.542293 0.1
-1.35886 0.608837 0.0963265 0.1
-1.57942 1.10226 0.343852 0.5
-1.20487 0.738476 0.0790838 0.1
-1.25359 0.657598 0.575751 0.1
-0.69968 0.750542 0.367341 0.5
-1.03925 1.15963 0.0962803 0.1
-0.214251 1.10598 0.0987683 0.1
0.410854 0.898293 0.0622467 0.1
0.0449876 1.01772 0.0982833 0.1
0.610157 0.823377 0.0986188 0.1
1.13582 1.17645 0.278243 0.1
0.614934 0.826687 0.571876 0.1
1.0672 1.13712 0.0969945 0.1
1.63872 0.602953 0.0978406 0.1
1.2526 1.06874 0.0948353 0.1
1.85452 0.716313 0.147192 0.15
2.46158 0.692854 0.400481 0.5
-2.50773 1.45673 0.0983087 0.1
-2.63068 1.22392 0.0972842 0.1
-2.43686 1.26962 0.0983129 0.1
-2.18054 1.63059 0.0978531 0.1
-1.88595 1.73392 0.0977834 0.1
-2.06003 1.38836 0.0984816 0.1
-1.91156 1.53604 0.0979216 0.1
-2.30933 1.47815 0.0984522 0.1
-2.37621 1.6649 0.0981337 0.1
-2.02288 1.65167 0.215682 0.1
-2.23934 1.29272 0.0981082 0.1
-1.71645 1.62943 0.097505 0.1
-1.31697 1.57717 0.592862 0.1
-0.774476 1.6325 0.348901 0.5
-0.412858 1.20269 0.0986761 0.1
-0.226545 1.53867 0.0983269 0.1
-0.251256 1.33718 0.0978191 0.1
-0.0396691 1.43869 0.098444 0.1
-0.010879 1.69484 0.147296 0.15
0.0341596 1.22125 0.0978641 0.1
0.574336 1.37512 0.336481 0.5
0.217235 1.79696 0.0979587 0.1
1.12473 1.50288 0.098455 0.1
1.02903 1.67889 0.0959145 0.1
1.09662 1.66075 0.278918 0.1
1.15507 1.47684 0.314966 0.1
1.17431 1.30555 0.0988087 0.1
1.20437 1.61542 0.44565 0.1
1.30048 1.62119 0.0978082 0.1
1.70873 1.29408 0.40359 0.5
2.25104 1.5011 0.0981041 0.1
2.38354 1.6515 0.098338 0.1
2.35573 1.28045 0.146687 0.15
2.11907 1.64995 0.0982806 0.1
1.94732 1.75143 0.0981425 0.1
2.61886 1.22152 0.0978745 0.1
