ITEM: TIMESTEP
800
ITEM: NUMBER OF ATOMS
1414
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
0.0433018 2.59962 1.3032 0.5
1.40428 2.17373 0.513694 0.5
1.7642 -0.76302 0.738879 0.1
0.439758 0.813785 0.475221 0.1
-2.87039 -0.565074 0.267018 0.1
1.80685 -1.84844 1.09443 0.15
-0.854707 0.898758 2.82801 0.1
-1.1275 1.62926 1.93828 0.15
-2.2388 -2.45169 2.01222 0.15
-1.91396 -1.15546 0.100158 0.1
1.51174 -2.77393 2.51695 0.1
2.78017 -0.0864423 1.75524 0.1
-2.96632 -1.95148 0.866786 0.1
-2.65723 0.603689 1.23704 0.1
-2.81833 -0.584865 2.52307 0.1
0.732713 -1.43684 1.28479 0.1
-2.40258 -0.769683 0.491331 0.5
-1.43057 -1.71404 1.67255 0.5
0.485751 2.44509 0.423873 0.5
-2.02278 2.94117 1.03497 0.1
0.57402 1.89885 0.116234 0.1
0.360231 0.777299 0.218126 0.1
0.608725 -2.08268 0.970116 0.1
-0.928147 -1.29958 0.96072 0.1
-0.36365 -0.954462 1.13461 0.5
0.208665 1.20195 2.54327 0.1
2.52792 0.695119 1.65588 0.1
-0.684887 -2.41157 1.38394 0.5
-0.389413 -0.337732 3.78353 0.1
-1.07004 0.510842 0.582872 0.1
-0.816663 1.47279 0.424005 0.5
0.0485633 2.52737 2.33555 0.5
-1.76712 -1.85004 2.50486 0.1
1.8156 -1.28701 1.12783 0.1
0.760715 2.03585 0.742636 0.1
0.328635 1.57571 2.76605 0.1
-1.63536 -1.96393 2.65941 0.1
1.28338 -0.120154 1.32261 0.1
0.0280019 -2.0599 0.179112 0.1
2.03274 -0.742367 1.24156 0.5
0.272086 2.13057 1.56976 0.1
1.68622 -0.462536 3.3564 0.1
-1.93381 1.58157 0.204007 0.1
0.322278 0.78767 0.682573 0.1
-1.9103 -1.09493 0.929527 0.1
1.66042 2.00344 1.55671 0.5
2.23951 1.88955 1.764 0.1
0.722794 -1.09417 0.576252 0.1
2.35816 1.35351 1.15688 0.1
-0.883202 -0.780787 1.39575 0.1
0.105756 -1.26572 0.3414 0.1
0.390887 1.6933 3.96851 0.1
2.54924 -0.348062 0.515009 0.5
-0.880447 0.291611 0.27323 0.1
-0.120505 2.04595 0.10457 0.1
-0.55899 -0.644 0.0938539 0.1
-0.0290991 -1.34419 0.156017 0.1
2.14513 1.21498 1.24397 0.1
1.47919 0.331441 0.847463 0.1
-0.547576 2.4978 0.437059 0.5
-2.15973 0.745777 2.21531 0.1
-0.497442 -0.923244 0.288944 0.1
0.277051 0.839418 0.408317 0.1
-0.0207607 0.335827 1.58626 0.1
2.24513 -1.2373 0.512821 0.5
-0.206985 -2.51604 0.490986 0.5
-0.756377 0.810611 2.78485 0.1
0.938917 -0.113847 0.0883523 0.1
-1.78203 -0.25919 0.971422 0.1
2.48581 0.849892 1.72743 0.1
-0.931608 2.76056 1.48943 0.1
-1.23268 -1.42123 0.678207 0.1
-1.77293 -0.0445422 0.437692 0.5
0.998077 2.38625 0.119196 0.1
-2.00507 -0.54109 0.830385 0.1
-1.06282 -0.798157 0.46812 0.5
0.104367 0.927522 1.64148 0.5
1.82011 0.579809 0.395865 0.1
2.01417 2.10811 0.429583 0.1
1.88755 1.7395 0.467871 0.1
2.9218 2.58762 2.64139 0.1
-1.18839 -1.85049 1.00078 0.1
2.61597 -1.38742 3.91917 0.1
-2.57417 -0.375698 2.70235 0.1
-0.858864 -2.72933 0.0977573 0.1
-1.69695 -1.25062 1.07725 0.1
1.63207 -1.98567 0.420694 0.5
-1.69776 1.98937 1.43696 0.1
0.675797 -2.16046 1.17252 0.1
-0.577393 2.11238 1.7519 0.5
-2.76862 -2.83209 2.64571 0.1
-1.78127 2.19833 1.11344 0.1
-0.0992668 -0.898963 2.90328 0.1
-0.300301 0.675821 0.43127 0.5
0.163227 2.34723 0.827597 0.1
-0.405983 0.740912 1.9652 0.1
-1.85852 -0.72938 3.16466 0.1
2.01587 -0.660679 2.20273 0.1
0.968836 0.524599 0.40438 0.5
0.563963 -2.51418 3.56613 0.1
-0.931701 0.929268 0.727544 0.1
-1.58806 2.02942 0.400945 0.5
0.814375 -1.35389 1.40037 0.1
-0.175413 1.23595 0.654236 0.1
1.95042 -0.163555 2.0222 0.1
1.00656 1.62057 0.871426 0.1
0.567702 -1.97445 1.43704 0.1
-1.5048 2.06095 1.98359 0.5
-0.613555 -1.68619 2.00109 0.5
1.90569 1.90879 0.61127 0.1
2.93781 -2.89535 2.07228 0.1
-2.35123 -1.30887 0.207986 0.1
1.39254 0.121173 1.88535 0.1
1.0382 -1.29044 1.07003 0.1
0.960143 2.38602 1.20049 0.15
-2.01363 1.65813 1.10999 0.5
0.977424 -1.80197 0.145151 0.1
1.06935 -1.59275 0.354188 0.1
0.467818 -2.26225 2.34885 0.1
2.68614 -1.63509 0.604293 0.1
0.26583 1.98306 1.70375 0.1
-2.45466 -1.33649 0.699093 0.1
1.27701 -2.38129 0.133325 0.1
1.6219 -0.147867 0.481659 0.5
2.154 -1.46603 2.63537 0.1
1.81594 -0.546634 2.75141 0.1
-2.74892 0.578053 2.52173 0.1
2.03702 1.77411 0.97978 0.1
0.927097 0.824346 0.993165 0.1
-1.10161 0.055847 0.475485 0.1
0.666563 -1.28213 3.22093 0.1
0.881761 -1.25766 0.73486 0.1
-2.50734 -0.0951029 1.16507 0.5
-0.86903 -2.47006 3.34906 0.1
1.06911 -1.20959 2.52773 0.1
0.935907 0.988943 2.40628 0.1
-1.34263 0.348105 0.854372 0.1
1.23818 -2.63809 0.107091 0.1
0.938813 2.58351 1.41232 0.1
-1.59861 -0.6644 2.02279 0.5
-0.228532 0.359355 1.59731 0.1
-0.0895521 -1.87249 0.103587 0.1
-1.92221 -1.60668 0.497785 0.5
-1.17147 2.25111 1.1459 0.5
0.21941 -1.9151 1.37715 0.1
2.8679 -0.333535 1.44508 0.1
2.71447 0.0512232 0.0741261 0.1
0.548017 -0.823399 0.240081 0.1
-2.03491 0.905527 3.36982 0.1
0.587018 2.56722 1.02816 0.1
0.531499 -0.00356574 2.62073 0.1
1.9437 1.54982 1.33701 0.1
-2.56749 1.22416 0.31494 0.1
-0.91751 0.706752 0.677227 0.1
-0.444426 0.00189949 1.12627 0.5
-1.95672 -0.589236 2.30923 0.1
1.34967 -1.05321 0.403551 0.5
1.49177 1.29362 0.446056 0.5
0.08139 1.78155 0.251261 0.1
