ITEM: TIMESTEP
900
ITEM: NUMBER OF ATOMS
1564
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
0.0120252 2.56422 1.45352 0.5
1.31103 2.19616 0.482882 0.5
1.65407 -0.744561 0.768887 0.1
-0.0222685 0.967798 0.368059 0.1
-2.78044 -0.523017 0.108486 0.1
2.47044 -1.34103 2.66697 0.15
-1.18962 -0.456341 1.71113 0.1
-1.19679 1.59469 1.25649 0.15
2.41987 -2.17359 1.84656 0.15
-1.79849 -1.02082 0.229558 0.1
-2.61964 2.60142 0.237664 0.1
2.78589 -0.472802 0.872399 0.1
2.59635 2.29068 0.212507 0.1
-2.70744 0.0646051 1.48147 0.1
-0.557788 -2.71286 2.10463 0.1
1.06057 -1.55189 0.972747 0.1
-2.38916 -0.883416 0.42826 0.5
-1.48666 -2.07581 1.20495 0.5
0.45456 2.51439 0.448057 0.5
-1.62875 2.79234 0.594195 0.1
0.468227 1.97731 0.136447 0.1
0.000903701 1.16992 0.088796 0.1
0.096231 -2.08388 0.424968 0.1
-0.935385 -1.48563 0.595311 0.1
-0.102444 -1.05095 0.989999 0.5
0.121054 1.62286 2.45183 0.1
2.77088 -0.447705 1.80318 0.1
-0.697472 -2.53761 1.22148 0.5
1.32206 1.02993 3.66241 0.1
-1.56498 -0.53505 0.324397 0.1
-0.850909 1.60088 0.344804 0.5
0.457827 2.41895 2.80504 0.5
-1.99411 -0.990462 3.20317 0.1
2.12635 -1.80818 0.99543 0.1
0.677236 2.1982 0.826377 0.1
1.9504 0.416688 2.39986 0.1
-1.69556 -2.31949 2.02182 0.1
0.809195 0.258503 1.18195 0.1
0.333815 -2.05277 0.145755 0.1
2.23237 -0.637059 1.16972 0.5
-0.0103669 0.984952 2.63334 0.1
1.08693 -1.96982 3.80274 0.1
-1.92767 1.63453 0.250579 0.1
0.22847 0.721461 0.163498 0.1
-2.2487 -1.77709 1.347 0.1
1.65546 1.9075 1.37588 0.5
2.03529 1.32298 1.92743 0.1
0.739588 -0.905082 0.181095 0.1
2.28467 1.76744 0.48723 0.1
-0.648147 -0.845304 0.737981 0.1
-0.204071 -1.22015 0.154069 0.1
2.75153 2.34403 0.949246 0.1
2.54594 -0.312986 0.359377 0.5
-1.11786 0.118027 0.0761641 0.1
-0.238162 1.79584 0.174668 0.1
-0.520639 -0.915855 0.125456 0.1
-0.350908 -1.02357 0.225337 0.1
2.42076 1.66404 0.980726 0.1
1.77641 0.652068 0.43021 0.1
-0.52209 2.51255 0.427337 0.5
-1.05176 1.14856 3.38687 0.1
-0.557669 -0.928201 0.580824 0.1
0.0681709 0.986422 0.21025 0.1
-0.189633 0.0338696 1.34947 0.1
2.19841 -1.27128 0.475747 0.5
-0.251873 -2.56529 0.403489 0.5
-1.55793 1.39795 1.76522 0.1
0.861597 -0.284015 0.101023 0.1
-2.22963 -0.536832 1.10983 0.1
2.3955 0.633304 1.52679 0.1
0.046405 2.82414 0.915721 0.1
-1.0646 -1.67031 0.531468 0.1
-1.83695 0.00389643 0.436561 0.5
0.985548 2.58103 0.103927 0.1
-2.3949 -0.660699 0.956889 0.1
-1.15635 -1.01947 0.299987 0.5
0.0503328 1.15896 1.35177 0.5
1.9022 0.705677 0.236398 0.1
1.97134 2.08326 0.381716 0.1
1.93617 1.79085 0.101488 0.1
-1.28534 -2.91027 2.1764 0.1
-0.982538 -1.91301 0.903179 0.1
-0.221616 -1.04578 2.64711 0.15
-2.54891 -1.11759 2.78743 0.1
-0.765822 -2.78026 0.128125 0.1
-1.27331 -2.61724 1.20193 0.1
1.54226 -2.00619 0.454213 0.5
-1.66041 2.39921 1.48821 0.1
0.72729 -2.04823 0.813308 0.1
-0.506106 2.56079 2.25295 0.5
2.35579 2.2841 4.04963 0.1
-1.96249 2.15177 1.02367 0.1
0.669574 -1.1021 1.40578 0.1
-0.615522 0.672272 0.309171 0.5
0.0983743 2.37529 0.89761 0.1
-1.01127 1.28937 1.71471 0.1
-2.34228 -0.794617 2.09312 0.1
1.79687 -2.20913 1.14957 0.1
1.0059 0.615922 0.314524 0.5
0.568197 0.861962 1.97824 0.1
-0.944407 0.499176 1.04612 0.1
-1.58484 2.0745 0.424028 0.5
0.874612 -1.28875 0.983251 0.1
-0.269682 1.33847 0.272262 0.1
2.25827 -0.523467 1.84383 0.1
0.996463 1.73101 0.440843 0.1
0.996831 -1.85203 0.753427 0.1
