ITEM: TIMESTEP
1600
ITEM: NUMBER OF ATOMS
2754
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.95207 -2.72579 0.0984696 0.1
-0.718456 -2.56821 0.103689 0.1
-0.210909 -2.53741 0.416825 0.5
0.760807 -2.445 0.399645 0.5
1.40032 -2.49262 0.097251 0.1
-1.15596 -2.25344 0.410208 0.5
0.00642219 -1.90089 0.111997 0.1
0.381895 -2.08155 0.097253 0.1
-0.1546 -2.03427 0.0964938 0.1
0.261848 -2.38219 0.0920942 0.1
0.0356359 -2.09659 0.0957747 0.1
1.11447 -2.068 0.0951492 0.1
0.848552 -1.94004 0.0954158 0.1
1.62388 -1.99174 0.416545 0.5
1.25893 -2.33729 0.094415 0.1
2.13601 -1.96077 0.0981443 0.1
2.34441 -1.70389 0.0986013 0.1
-2.62343 -1.27915 0.0879169 0.1
-2.51461 -1.44494 0.0993355 0.1
-2.41104 -1.61843 0.0932773 0.1
-2.3236 -1.37253 0.0989886 0.1
-1.91793 -1.69022 0.413908 0.5
-1.4237 -1.81024 0.103699 0.1
-0.949083 -1.56439 0.098057 0.1
-0.63446 -1.16742 0.0956184 0.1
-0.428208 -1.61489 0.432719 0.5
-0.0117567 -1.20383 0.145544 0.15
0.486075 -1.54252 0.374273 0.5
0.970268 -1.75749 0.0983924 0.1
1.03063 -1.54349 0.0971822 0.1
1.29339 -1.6094 0.0991718 0.1
1.14032 -1.85764 0.0948964 0.1
2.23491 -1.22526 0.446696 0.5
1.99094 -1.64577 0.0976406 0.1
1.74996 -1.44133 0.0982585 0.1
1.46422 1.341 2.62909 0.1
1.45905 2.1607 2.59253 0.1
2.56374 -1.35353 0.0412122 0.1
-1.86021 -0.979349 0.130531 0.1
-2.38597 -0.859675 0.404262 0.5
-1.72158 -0.830142 0.097969 0.1
-1.62869 -0.431189 0.116099 0.1
-1.82821 -0.591407 0.155067 0.15
-1.95897 -1.16158 0.102889 0.1
-1.15788 -1.06574 0.369841 0.5
-0.795285 -0.677927 0.0966063 0.1
-0.438416 -1.10765 0.0995749 0.1
-0.64378 -0.915138 0.100422 0.1
-0.238969 -1.11775 0.0959852 0.1
-0.249832 -0.901703 0.0981955 0.1
-0.159876 -1.00536 0.237112 0.1
-0.594199 -0.872583 0.298457 0.1
-0.552213 -0.679059 0.147707 0.15
-0.565125 -1.0612 0.24774 0.1
-0.029532 -0.959806 0.0973047 0.1
-0.0427117 -1.0826 0.378535 0.1
0.173001 -1.04121 0.0931553 0.1
0.138597 -1.05826 0.295438 0.1
0.609837 -0.913792 0.0958978 0.1
0.640446 -0.462812 0.0990619 0.1
0.2939 -0.943779 0.213564 0.1
0.389624 -0.814939 0.0985798 0.1
0.438945 -1.01579 0.0960626 0.1
0.889693 -0.735534 0.100693 0.1
1.02246 -0.588164 0.0979122 0.1
0.815934 -0.919975 0.106976 0.1
0.693199 -0.724961 0.0966981 0.1
1.29258 -1.10355 0.423337 0.5
1.71208 -0.768965 0.0966709 0.1
1.99076 -0.675213 0.439115 0.1
2.20235 -0.742071 0.0993875 0.1
1.96786 -0.800376 0.100514 0.1
1.82311 -0.950938 0.0976282 0.1
2.52403 -0.836828 0.0954451 0.1
2.69011 -0.976886 0.0982883 0.1
-2.8409 -0.516969 0.086656 0.1
-2.72454 -0.0563157 0.119224 0.1
-2.73818 0.150608 0.125781 0.1
-2.27603 -0.340849 0.09963 0.1
-1.4046 -0.573025 0.099037 0.1
-0.864686 -0.165353 0.390813 0.5
-0.557011 0.256724 0.0949244 0.1
-0.36296 0.367522 0.0927892 0.1
-0.000653672 -0.427241 0.368899 0.5
1.08555 -0.211448 0.0954106 0.1
0.823876 -0.129048 0.100292 0.1
0.817861 -0.54996 0.107318 0.1
0.681181 -0.268142 0.0977984 0.1
0.504032 -0.182847 0.107067 0.1
0.891752 -0.350337 0.10082 0.1
0.930907 0.0398683 0.098497 0.1
1.13652 0.00940197 0.0980375 0.1
1.11501 -0.409915 0.0970711 0.1
1.61844 -0.220591 0.360701 0.5
1.23606 -0.610409 0.0974637 0.1
2.04713 -0.560388 0.0967931 0.1
2.54705 -0.335845 0.420029 0.5
-2.56434 -0.218857 0.12052 0.1
-1.95265 0.582023 0.102012 0.1
-1.76626 0.0827389 0.425223 0.5
-1.23894 0.4364 0.0958253 0.1
-1.43653 0.455304 0.0960227 0.1
-1.60633 0.572525 0.0990538 0.1
-1.33551 0.517024 0.255445 0.1
-1.03509 0.362264 0.0987906 0.1
-1.34958 0.518295 0.452832 0.1
-1.2754 0.215394 0.0966941 0.1
-1.34782 0.628951 0.0931575 0.1
-0.359964 -0.0367592 0.0953449 0.1
0.186406 0.457749 0.391766 0.5
-0.1786 0.071311 0.0937512 0.1
1.09211 0.547907 0.375216 0.5
0.662187 0.0749925 0.141436 0.15
1.62229 0.546651 0.0984591 0.1
1.97745 0.441857 0.0963856 0.1
2.52289 0.177607 0.0959369 0.1
2.3275 0.159342 0.0933871 0.1
2.17647 0.0246118 0.0985209 0.1
1.92908 0.237424 0.0987581 0.1
2.15672 0.256081 0.0993036 0.1
1.71434 0.361116 0.102707 0.1
2.90126 0.0189293 0.0967722 0.1
2.71445 0.25861 0.0931507 0.1
2.86786 0.394914 0.0954957 0.1
2.89716 0.207801 0.146781 0.1
-2.44832 0.76692 0.442708 0.5
-1.57487 1.1024 0.375192 0.5
-0.696317 0.745323 0.402973 0.5
-1.19527 0.747101 0.0903146 0.1
-1.02821 1.17197 0.0968276 0.1
-0.171657 1.49387 0.103713 0.1
-0.327946 1.13723 0.0953643 0.1
0.405676 0.890974 0.0793919 0.1
0.0721878 1.03791 0.104885 0.1
-0.212084 0.923941 0.0936712 0.1
0.638168 0.814297 0.106293 0.1
1.12728 1.14531 0.413121 0.1
1.84776 0.677649 0.145007 0.15
2.45792 0.68372 0.417819 0.5
-2.44408 1.52087 0.100811 0.1
-2.5728 1.28136 0.139046 0.1
-1.68969 1.63386 0.0950746 0.1
-2.07991 1.68202 0.0968893 0.1
-1.87414 1.71674 0.0982477 0.1
-2.21187 1.19544 0.0980522 0.1
-2.07639 1.41086 0.0981426 0.1
-1.91082 1.52003 0.0980177 0.1
-2.23267 1.54857 0.0958258 0.1
-2.32741 1.72984 0.0982621 0.1
-0.763531 1.62783 0.380244 0.5
-0.310696 1.35382 0.0982816 0.1
-0.236128 1.91112 0.112274 0.1
-0.0205406 1.95219 0.0990803 0.1
-0.0326871 1.69707 0.156579 0.15
-0.111857 1.0961 0.159531 0.1
-0.0890051 1.29025 0.0973428 0.1
1.20512 1.60684 0.207451 0.1
0.570489 1.36624 0.378324 0.5
1.36899 1.64577 0.0989984 0.1
1.7118 1.28045 0.423186 0.5
1.21674 1.10192 0.0978583 0.1
1.09092 1.27157 0.100224 0.1
2.25335 1.82671 0.0982411 0.1
-0.947859 -0.679992 3.31669 0.1
2.53002 1.21343 0.0960125 0.1
2.20064 1.54724 0.101747 0.1
-2.03002 2.07132 0.098048 0.1
-1.99851 1.87408 0.098607 0.1
-1.53049 2.09765 0.436382 0.5
-0.977997 2.23395 0.0974184 0.1
-0.951444 2.17376 0.548202 0.1
-0.008557 2.37246 0.0978935 0.1
-0.0395272 2.15353 0.0983891 0.1
0.53973 1.94539 0.0965839 0.1
0.212697 1.79821 0.0994395 0.1
0.168474 2.12867 0.0995209 0.1
0.330587 2.00791 0.100571 0.1
0.786747 2.04133 0.143227 0.15
1.03951 1.60907 0.0971644 0.1
0.907544 1.82451 0.120852 0.1
0.773723 1.96485 0.424752 0.15
1.37396 2.17371 0.384092 0.5
1.75361 1.80622 0.103799 0.1
1.88286 1.95803 0.0962871 0.1
2.09288 2.00863 0.0970606 0.1
0.792921 1.21998 2.44714 0.1
-0.255278 -2.26402 2.80598 0.1
-1.2718 2.57356 0.105287 0.1
-1.08625 2.6794 0.100026 0.1
-0.499617 2.53301 0.401509 0.5
-0.0970655 2.88346 0.094877 0.1
0.472286 2.5277 0.434088 0.5
1.14846 2.65514 0.100718 0.1
0.9129 2.74706 0.0963069 0.1
-1.57877 -2.44498 0.771064 0.1
-0.838473 -2.74859 0.30466 0.1
-0.688136 -2.76769 0.102732 0.1
0.29572 -2.79635 0.115162 0.1
-2.25512 -1.84065 0.872585 0.1
-2.07433 -2.03112 0.87492 0.1
-1.27513 -1.64137 0.275441 0.1
-0.599752 -2.1447 0.648736 0.1
-0.903826 -1.92047 0.877259 0.15
-1.05475 -1.67632 0.238272 0.1
0.0850214 -1.97817 0.618708 0.15
0.185823 -2.03158 0.207395 0.1
0.211969 -2.19153 0.0958337 0.1
1.01022 -1.93465 0.216954 0.1
1.03992 -1.90823 0.515526 0.1
2.2931 -1.78642 0.62935 0.1
2.15354 -1.76091 0.096584 0.1
2.25707 -1.79648 0.26122 0.1
0.828362 -0.606789 2.74382 0.1
-1.19131 -1.70211 0.0974288 0.1
-1.29298 -1.61182 0.551758 0.1
-1.7415 -1.17018 0.104754 0.1
-1.40569 -1.56458 0.0976171 0.1
-1.70094 -1.26668 0.779991 0.1
-0.928922 -1.76715 0.100142 0.1
-0.984594 -1.37709 1.17714 0.5
-0.711175 -2.02593 0.760329 0.1
-0.470156 -1.18477 0.932686 0.15
0.131365 -1.68383 0.813403 0.1
0.547215 -0.764498 0.225091 0.1
1.13099 -1.68227 0.195699 0.1
1.08439 -1.68477 0.513409 0.1
1.03982 -1.7869 0.347953 0.1
0.514048 -0.618658 0.0973485 0.1
1.74672 -1.47579 1.1891 0.5
-2.86261 -0.403384 0.244757 0.1
