ITEM: TIMESTEP
2100
ITEM: NUMBER OF ATOMS
3521
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.975655 -2.73249 0.0949379 0.1
-0.740483 -2.59993 0.0987084 0.1
-0.802254 -2.78392 0.177461 0.1
-0.628865 -2.83385 0.0951582 0.1
-0.212548 -2.53972 0.40018 0.5
0.170347 -2.88763 0.0969751 0.1
0.365124 -2.79191 0.0933752 0.1
0.764385 -2.45103 0.390051 0.5
1.42876 -2.48008 0.0963954 0.1
2.99038 1.62288 1.58517 0.1
-1.43143 -1.82467 0.0966587 0.1
-1.15887 -2.25914 0.404642 0.5
-0.870533 -1.8394 0.0939386 0.1
-0.156788 -2.03078 0.0930566 0.1
0.0277342 -1.86507 0.103385 0.1
0.373489 -2.06026 0.0993491 0.1
0.262632 -2.38205 0.0889624 0.1
0.0318947 -2.09587 0.0924475 0.1
0.265138 -2.06522 0.646924 0.15
0.189884 -2.00892 0.162997 0.1
0.204269 -2.19441 0.0983687 0.1
1.12963 -2.08531 0.0913432 0.1
0.844538 -1.93942 0.0940281 0.1
1.15168 -1.83728 0.0910653 0.1
1.01969 -1.94988 0.186028 0.1
1.00871 -1.90395 0.418185 0.1
1.62592 -2.0005 0.403135 0.5
1.26891 -2.35503 0.090567 0.1
2.13766 -1.96122 0.0972566 0.1
2.2424 -1.84157 0.228609 0.1
-2.62539 -1.28234 0.0844457 0.1
-2.51206 -1.44466 0.0987357 0.1
-2.41097 -1.61625 0.0940643 0.1
-2.31372 -1.37782 0.097009 0.1
-1.91907 -1.69328 0.416465 0.5
-1.34871 -1.6613 0.239475 0.1
-1.2468 -1.75193 0.096896 0.1
-1.26478 -1.66649 0.419031 0.1
-1.42912 -1.54922 0.0971877 0.1
-0.931096 -1.57722 0.0969153 0.1
-1.04653 -1.73832 0.0983106 0.1
-1.0406 -1.66443 0.369208 0.1
-0.428583 -1.61307 0.416894 0.5
-0.00891512 -1.20498 0.140741 0.15
0.495291 -1.53755 0.357988 0.5
0.980636 -1.73998 0.0893462 0.1
1.01958 -1.5131 0.0855905 0.1
1.14222 -1.6508 0.157546 0.1
1.0639 -1.70489 0.458478 0.1
1.03843 -1.77224 0.273675 0.1
1.31813 -1.60342 0.0868705 0.1
1.789 -1.46298 0.104388 0.1
2.33005 -1.71734 0.0982334 0.1
2.23991 -1.23285 0.435983 0.5
1.97106 -1.62854 0.0895242 0.1
2.11534 -1.76351 0.0974384 0.1
2.56599 -1.35306 0.0347648 0.1
-1.83787 -0.922434 0.106198 0.1
-2.39573 -0.869172 0.404282 0.5
-1.92876 -1.14022 0.0977833 0.1
-1.64149 -0.745618 0.0986336 0.1
-1.7249 -1.15088 0.0974669 0.1
-0.631574 -1.15938 0.0928973 0.1
-1.17028 -1.07801 0.358037 0.5
-0.792534 -0.696263 0.0966166 0.1
-0.65584 -0.907922 0.0976652 0.1
-0.616054 -0.857317 0.308126 0.1
-0.436381 -1.11131 0.0967123 0.1
-0.237301 -1.12134 0.0961066 0.1
-0.260671 -0.898214 0.096417 0.1
-0.120222 -0.990638 0.198148 0.1
-0.551096 -0.685824 0.143257 0.15
-0.573571 -1.0356 0.234912 0.1
-0.0965021 -1.11198 0.355416 0.1
-0.328332 -1.02728 0.245248 0.1
-0.457556 -0.915074 0.0963715 0.1
-0.418468 -0.849491 0.27784 0.1
-0.530571 -0.703232 0.393124 0.1
0.0525266 -0.966932 0.100281 0.1
0.206651 -1.0922 0.0934268 0.1
0.129606 -1.03894 0.2759 0.1
0.245854 -0.89853 0.0930436 0.1
0.413721 -0.779011 0.100455 0.1
0.425435 -1.00333 0.0988054 0.1
0.343291 -0.913137 0.263527 0.1
0.543497 -0.943165 0.253475 0.1
0.466499 -0.791214 0.407822 0.1
0.603459 -0.832689 0.0968467 0.1
0.91376 -0.78886 0.0905935 0.1
1.04267 -0.635115 0.098441 0.1
0.818119 -0.96819 0.0926923 0.1
0.708086 -0.666734 0.0949432 0.1
0.54783 -0.715753 0.246995 0.1
0.714354 -0.984433 0.382475 0.1
0.63012 -1.02821 0.091391 0.1
0.841925 -0.687426 0.233902 0.1
0.745112 -0.856044 0.234703 0.1
0.535345 -0.95156 0.49216 0.1
1.30314 -1.1076 0.406549 0.5
1.7026 -0.789187 0.0970595 0.1
1.24364 -0.604156 0.0936946 0.1
1.93534 -0.724021 0.24787 0.1
2.26019 -0.747363 0.0921365 0.1
1.89354 -0.848949 0.0993887 0.1
1.80016 -1.02368 0.0927134 0.1
2.0629 -0.732477 0.0977722 0.1
2.56161 -0.860297 0.0993235 0.1
2.70049 -1.0442 0.0977913 0.1
2.78253 -0.799498 0.116106 0.1
-2.85261 -0.285369 0.108467 0.1
-2.65785 0.179915 0.0988217 0.1
-2.80926 -0.127734 0.244327 0.1
-1.85583 -0.554437 0.147902 0.15
-2.24866 -0.137186 0.115111 0.1
-2.11612 -0.349637 0.0983526 0.1
-1.399 -0.375783 0.097604 0.1
-1.48454 -0.610943 0.100019 0.1
-0.877933 -0.168631 0.380928 0.5
-0.359057 -0.0304255 0.0947536 0.1
-0.000181589 -0.426442 0.355809 0.5
0.526616 -0.322957 0.0962167 0.1
0.511578 -0.593077 0.0974369 0.1
0.442027 -0.0323031 0.0986013 0.1
0.49023 -0.0922543 0.295745 0.1
0.668272 -0.471066 0.0995936 0.1
1.08373 -0.228818 0.0946129 0.1
0.897336 -0.161975 0.0975793 0.1
0.86509 -0.54438 0.0972592 0.1
0.742242 -0.287416 0.0986887 0.1
0.93203 -0.357519 0.098881 0.1
1.12912 0.00950071 0.0954487 0.1
1.11408 -0.438853 0.0980719 0.1
0.823447 -0.0638848 0.25329 0.1
1.03825 -0.0984995 0.235208 0.1
0.60451 -0.145775 0.134468 0.1
1.62756 -0.218278 0.336552 0.5
2.08012 -0.532079 0.0980177 0.1
2.54665 -0.338168 0.414451 0.5
-2.89212 0.013254 0.0991033 0.1
-2.38586 0.120234 0.0918169 0.1
-1.78103 0.0666396 0.416175 0.5
-1.41138 0.410012 0.0957089 0.1
-1.57814 0.542863 0.0991788 0.1
-1.29256 0.478314 0.240642 0.1
-1.41657 0.530323 0.439783 0.1
-1.28322 0.153708 0.0929103 0.1
-1.23788 0.494745 0.508834 0.1
-1.22727 0.343388 0.0965916 0.1
-1.23446 0.303032 0.465409 0.1
-1.17377 0.533381 0.0898667 0.1
-1.02268 0.330541 0.0921165 0.1
-1.14552 0.351835 0.270485 0.1
-0.553107 0.242074 0.0957756 0.1
-0.334869 0.365837 0.0939092 0.1
-0.181027 0.0766346 0.0930874 0.1
-0.36781 0.168813 0.0932792 0.1
-0.305525 0.0752036 0.25234 0.1
-0.374432 0.261281 0.264517 0.1
-0.426041 0.220032 0.451878 0.1
-0.290114 0.0817683 0.456529 0.1
0.180588 0.458414 0.373644 0.5
0.912528 0.0361679 0.0986233 0.1
1.09123 0.550288 0.354408 0.5
0.667917 0.0993764 0.141019 0.15
0.702295 0.0517593 0.377281 0.1
1.65411 0.548962 0.100218 0.1
1.59057 0.332586 0.103859 0.1
1.97589 0.495941 0.0981815 0.1
2.27643 0.149337 0.101279 0.1
2.14248 -0.0201834 0.095113 0.1
1.7945 0.306274 0.0966717 0.1
2.08615 0.330732 0.0967798 0.1
1.93846 0.342834 0.22812 0.1
2.07125 0.149253 0.168058 0.1
2.08286 0.216774 0.359092 0.1
2.49004 0.1803 0.0971127 0.1
2.90157 0.0204369 0.0965768 0.1
2.69359 0.196437 0.0987718 0.1
2.87449 0.416093 0.0926586 0.1
2.89201 0.218524 0.098882 0.1
-2.45228 0.753826 0.435778 0.5
-1.94025 0.688284 0.0947255 0.1
-2.11278 1.13952 0.0927578 0.1
-1.88601 0.629168 0.568311 0.1
-1.36058 0.600685 0.0983271 0.1
-1.58522 1.09202 0.358009 0.5
-1.20707 0.73317 0.0815461 0.1
-0.708839 0.740301 0.386229 0.5
-1.04322 1.15553 0.0967486 0.1
-0.338927 1.20859 0.0988702 0.1
-0.123094 1.00214 0.100526 0.1
0.404982 0.89038 0.0675208 0.1
0.138872 1.02811 0.0968744 0.1
0.605534 0.799498 0.104104 0.1
1.14325 1.151 0.277721 0.1
0.593993 0.825832 0.609181 0.1
1.23539 1.07371 0.100216 0.1
1.85223 0.716314 0.146958 0.15
2.45858 0.692726 0.407293 0.5
2.63632 1.20927 0.0986919 0.1
-2.51463 1.44556 0.0986289 0.1
-2.63182 1.21783 0.0961169 0.1
-2.43081 1.26355 0.0982026 0.1
-2.17487 1.64742 0.0985496 0.1
-1.87956 1.73133 0.0946437 0.1
-2.10877 1.45739 0.0986438 0.1
-1.92437 1.5366 0.0975248 0.1
-2.31277 1.48143 0.0981619 0.1
-2.37107 1.67371 0.097738 0.1
-2.02284 1.67769 0.222074 0.1
-2.23609 1.29324 0.0975264 0.1
-1.70648 1.61374 0.0967539 0.1
-1.32507 1.57162 0.603571 0.1
-0.782225 1.62381 0.36037 0.5
-0.19688 1.58518 0.0971341 0.1
-0.182424 1.35195 0.0970327 0.1
0.00497553 1.42706 0.0945956 0.1
