ITEM: TIMESTEP
2700
ITEM: NUMBER OF ATOMS
4527
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.976868 -2.73398 0.0934265 0.1
-0.728732 -2.54826 0.0979218 0.1
-0.786599 -2.73279 0.145008 0.1
-0.625774 -2.83448 0.0937118 0.1
-0.209415 -2.5391 0.396515 0.5
0.278238 -2.75612 0.0937393 0.1
0.447425 -2.87073 0.103275 0.1
0.766908 -2.44981 0.388229 0.5
1.29912 -2.58348 0.0997388 0.1
0.170239 1.52293 4.12388 0.1
-1.43075 -1.82592 0.0966115 0.1
-1.15775 -2.26045 0.401188 0.5
-0.870849 -1.84005 0.0926241 0.1
-0.154182 -2.03168 0.0904597 0.1
0.034591 -1.87584 0.0974222 0.1
0.379516 -2.09084 0.0984359 0.1
0.264796 -2.38177 0.0877868 0.1
0.0332579 -2.09541 0.0909094 0.1
0.241937 -2.10094 0.536277 0.15
0.193505 -2.00502 0.149903 0.1
0.207265 -2.19338 0.0974598 0.1
1.1302 -2.08226 0.0922637 0.1
0.851974 -1.93992 0.0943668 0.1
1.1536 -1.83778 0.0918642 0.1
1.02313 -1.94785 0.189807 0.1
1.03587 -1.91638 0.411672 0.1
1.62871 -1.99763 0.400756 0.5
1.27159 -2.35406 0.0911811 0.1
2.14209 -1.95617 0.0972496 0.1
2.24053 -1.8432 0.229365 0.1
-2.62583 -1.28277 0.0842118 0.1
-2.5037 -1.43761 0.098576 0.1
-2.4134 -1.61382 0.0955252 0.1
-2.31273 -1.37889 0.0972382 0.1
-1.91814 -1.69484 0.414662 0.5
-1.3477 -1.6581 0.236093 0.1
-1.24698 -1.7536 0.0956165 0.1
-1.25854 -1.67039 0.413538 0.1
-1.43476 -1.55072 0.0959533 0.1
-0.943963 -1.58184 0.097798 0.1
-1.04856 -1.75324 0.0973462 0.1
-1.14944 -1.67159 0.24663 0.1
-0.423887 -1.61426 0.409768 0.5
-0.00865917 -1.19786 0.144931 0.15
0.497241 -1.53796 0.353678 0.5
0.986037 -1.74307 0.0915482 0.1
1.02564 -1.51591 0.0889807 0.1
1.14766 -1.65097 0.162615 0.1
