ITEM: TIMESTEP
3300
ITEM: NUMBER OF ATOMS
5829
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.970627 -2.73758 0.0953191 0.1
-0.727931 -2.54408 0.0967059 0.1
-0.781401 -2.72864 0.142756 0.1
-0.626253 -2.83679 0.0933223 0.1
-0.210229 -2.54134 0.394534 0.5
0.298462 -2.70298 0.0985362 0.1
0.41454 -2.86459 0.0976713 0.1
0.197788 -2.8856 0.101047 0.1
0.767126 -2.45276 0.385808 0.5
1.36057 -2.5577 0.0974514 0.1
1.61066 2.42541 3.66512 0.1
-1.43103 -1.82707 0.0957502 0.1
-1.15924 -2.26303 0.399472 0.5
-0.872244 -1.84223 0.0917361 0.1
-0.607305 -2.15039 0.598529 0.1
-0.154933 -2.03468 0.088519 0.1
0.0375901 -1.88263 0.0982724 0.1
0.385772 -2.08405 0.0982939 0.1
0.264609 -2.38343 0.0864936 0.1
0.0311165 -2.0968 0.0904463 0.1
0.241684 -2.10464 0.531419 0.15
0.190935 -2.00905 0.147692 0.1
0.203084 -2.1982 0.0979662 0.1
1.13108 -2.08465 0.0914873 0.1
0.854902 -1.9431 0.0928238 0.1
1.15437 -1.84078 0.0915882 0.1
1.02515 -1.95174 0.189628 0.1
1.03716 -1.92036 0.41003 0.1
1.62992 -2.00185 0.39913 0.5
1.27209 -2.35666 0.0899429 0.1
2.14439 -1.95404 0.0974815 0.1
2.244 -1.83996 0.228543 0.1
-2.62681 -1.28352 0.0832831 0.1
-2.5084 -1.44081 0.0986839 0.1
-2.41375 -1.61412 0.0946556 0.1
-2.31775 -1.38326 0.0973983 0.1
-1.91872 -1.69679 0.412188 0.5
-1.34804 -1.66128 0.235392 0.1
-1.24663 -1.75674 0.0951943 0.1
-1.25975 -1.67285 0.412603 0.1
-1.43568 -1.55221 0.0958085 0.1
-0.938726 -1.5878 0.097828 0.1
-1.04866 -1.75599 0.0971744 0.1
-1.15067 -1.6728 0.244284 0.1
-1.0181 -1.6817 0.390493 0.1
-0.424042 -1.61817 0.404315 0.5
-0.00827641 -1.20154 0.144481 0.15
0.498255 -1.54434 0.348179 0.5
0.986985 -1.7465 0.0897048 0.1
1.02667 -1.51942 0.0865268 0.1
1.14826 -1.65502 0.161074 0.1
1.12696 -1.67853 0.425258 0.1
1.04439 -1.77641 0.27589 0.1
1.32166 -1.60569 0.0859172 0.1
1.73129 -1.40879 0.098052 0.1
2.33546 -1.7209 0.0974568 0.1
2.24463 -1.23256 0.430499 0.5
1.97291 -1.62778 0.0895935 0.1
2.12249 -1.7562 0.0975071 0.1
2.56904 -1.35122 0.0317991 0.1
-2.39296 -0.871329 0.396373 0.5
-1.97704 -1.18752 0.0981459 0.1
-1.7667 -0.546153 0.146439 0.15
-1.75605 -0.789037 0.0994327 0.1
-1.57117 -0.703184 0.0974958 0.1
-1.77585 -1.14245 0.097618 0.1
-0.630797 -1.15324 0.0953036 0.1
-1.16421 -1.08494 0.347431 0.5
-0.788576 -0.698016 0.0959569 0.1
-0.665313 -0.895178 0.0931686 0.1
-0.610825 -0.858994 0.310412 0.1
-0.438881 -1.10995 0.0949547 0.1
-0.242936 -1.13642 0.0976739 0.1
-0.282818 -0.885332 0.0956381 0.1
-0.127556 -0.986409 0.157759 0.1
-0.548681 -0.685556 0.144631 0.15
-0.555488 -1.03499 0.236499 0.1
-0.0143699 -1.02413 0.316766 0.1
-0.328203 -1.02256 0.234941 0.1
-0.473452 -0.917123 0.0979587 0.1
-0.414127 -0.848323 0.274739 0.1
-0.538703 -0.671136 0.392006 0.1
0.0593695 -0.96819 0.0973417 0.1
0.207684 -1.09602 0.0935136 0.1
0.175571 -0.994738 0.258754 0.1
0.250494 -0.908423 0.0945889 0.1
0.403586 -0.786603 0.0929281 0.1
0.425503 -1.00185 0.098075 0.1
0.35815 -0.907687 0.260044 0.1
0.554521 -0.936111 0.256265 0.1
0.479472 -0.792832 0.369759 0.1
0.589198 -0.828748 0.0930126 0.1
0.55567 -0.683271 0.222481 0.1
0.559061 -0.956182 0.452788 0.1
0.909436 -0.809014 0.0844402 0.1
1.04325 -0.663344 0.0987505 0.1
0.814613 -0.984291 0.0945334 0.1
0.705445 -0.639422 0.0977509 0.1
0.726831 -0.998938 0.334484 0.1
0.622976 -1.02143 0.0940361 0.1
0.849585 -0.702681 0.217545 0.1
0.733617 -0.852204 0.213209 0.1
0.749155 -0.956809 0.520929 0.1
1.30865 -1.10974 0.398954 0.5
1.71711 -0.777885 0.0978935 0.1
1.93399 -0.726642 0.244215 0.1
2.26251 -0.74562 0.0908994 0.1
1.91119 -0.857152 0.0976683 0.1
1.80482 -1.02307 0.0906548 0.1
2.06636 -0.734435 0.0982983 0.1
2.57586 -0.854915 0.0982763 0.1
2.7194 -0.998352 0.0983296 0.1
2.77097 -0.802372 0.0979458 0.1
-2.83272 -0.391224 0.110268 0.1
-2.88894 -0.137031 0.0993172 0.1
-2.67734 -0.247988 0.101741 0.1
-2.38772 -0.330358 0.101565 0.1
-2.04585 -0.485175 0.0975754 0.1
-2.41706 -0.126396 0.0987745 0.1
-1.42413 -0.33736 0.0983127 0.1
-1.3549 -0.544286 0.0987614 0.1
-0.869588 -0.170709 0.363977 0.5
-0.359754 -0.0258871 0.0946 0.1
0.00684294 -0.427268 0.340524 0.5
0.548616 -0.330887 0.0985665 0.1
0.541701 -0.530439 0.0972073 0.1
0.390005 -0.034912 0.0981874 0.1
0.510997 -0.0291134 0.257886 0.1
0.562674 -0.132984 0.0977383 0.1
0.716561 -0.437773 0.098671 0.1
1.07894 -0.254239 0.0979272 0.1
0.907074 -0.154155 0.0943782 0.1
0.881736 -0.547418 0.0978886 0.1
0.729238 -0.240177 0.0986607 0.1
0.904965 -0.351237 0.0976243 0.1
1.07676 -0.459278 0.0979559 0.1
0.832611 -0.0482007 0.238438 0.1
1.04206 -0.112755 0.233878 0.1
1.23001 -0.597378 0.0972223 0.1
1.63141 -0.217777 0.325403 0.5
2.08061 -0.535459 0.0956661 0.1
2.14756 -0.0238343 0.0965496 0.1
2.54871 -0.336767 0.40929 0.5
-2.68882 0.292502 0.100122 0.1
-2.65078 -0.0243336 0.114303 0.1
-2.35332 0.0920101 0.0978207 0.1
-1.77512 0.0668966 0.396047 0.5
-1.41304 0.421088 0.0923801 0.1
-1.5687 0.545686 0.0982415 0.1
-1.29567 0.476487 0.24103 0.1
-1.40457 0.532702 0.396907 0.1
-1.27987 0.158582 0.0910536 0.1
-1.22665 0.493165 0.467293 0.1
-1.23207 0.346726 0.0972748 0.1
-1.22867 0.300157 0.43396 0.1
-1.17726 0.533586 0.0942354 0.1
-1.03512 0.337381 0.0972797 0.1
-1.13675 0.356259 0.269029 0.1
-0.5422 0.245805 0.0949565 0.1
-0.336368 0.364002 0.0959398 0.1
-0.185339 0.0821646 0.0970146 0.1
-0.361765 0.170453 0.0939745 0.1
-0.305993 0.0741685 0.254364 0.1
-0.364011 0.263927 0.265826 0.1
-0.426185 0.219967 0.447627 0.1
-0.268481 0.0953993 0.444088 0.1
-0.374094 0.11257 0.606982 0.1
-0.340036 0.320766 0.594049 0.1
0.190139 0.466617 0.356545 0.5
1.12458 0.00590849 0.0976326 0.1
0.922145 0.0421279 0.0939338 0.1
1.0976 0.55133 0.343259 0.5
0.675837 0.113866 0.13683 0.15
0.737591 0.0689773 0.364681 0.1
0.678164 0.165079 0.527166 0.1
1.6394 0.598971 0.0966261 0.1
1.60728 0.341267 0.0988492 0.1
1.78033 0.458234 0.098972 0.1
1.97465 0.503328 0.0982298 0.1
2.30888 0.19745 0.0977395 0.1
2.08794 0.340205 0.0968999 0.1
1.87727 0.283411 0.0987751 0.1
2.04564 0.147965 0.0970145 0.1
2.18817 0.115507 0.232304 0.1
1.9942 0.258698 0.257272 0.1
2.50701 0.176081 0.0981728 0.1
2.90224 0.0216874 0.0944048 0.1
2.7049 0.151349 0.0982088 0.1
2.87774 0.414716 0.0901938 0.1
2.89258 0.218665 0.0988219 0.1
-2.4487 0.756853 0.426153 0.5
-1.95589 0.608162 0.097842 0.1
-2.12075 1.13305 0.0972256 0.1
-1.87917 0.631747 0.546305 0.1
-1.35837 0.607937 0.0970037 0.1
-1.57729 1.10038 0.346216 0.5
-1.20396 0.737144 0.0798694 0.1
-1.25181 0.655247 0.578189 0.1
-0.697774 0.748082 0.369311 0.5
-1.03814 1.15818 0.097011 0.1
-0.115802 0.915913 0.098061 0.1
0.411797 0.897293 0.0623563 0.1
0.146461 1.02862 0.0979462 0.1
0.623369 0.824027 0.0987522 0.1
1.13909 1.17152 0.280252 0.1
0.618008 0.825685 0.570681 0.1
1.07297 1.14572 0.0955038 0.1
1.25404 1.06824 0.0942923 0.1
