ITEM: TIMESTEP
3700
ITEM: NUMBER OF ATOMS
6312
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.970609 -2.73811 0.0948363 0.1
-0.727901 -2.54475 0.0956112 0.1
-0.781164 -2.72878 0.141509 0.1
-0.625955 -2.83648 0.0928222 0.1
-0.210094 -2.54225 0.392197 0.5
0.294761 -2.68524 0.0979899 0.1
0.427343 -2.86732 0.0988817 0.1
0.216546 -2.89004 0.0998278 0.1
0.7677 -2.45315 0.383637 0.5
1.39668 -2.51394 0.0977739 0.1
1.61018 2.42438 3.66482 0.1
-1.43182 -1.82792 0.0943922 0.1
-1.1598 -2.26434 0.39701 0.5
-0.872408 -1.84324 0.0894914 0.1
-0.606892 -2.15081 0.594973 0.1
-0.154719 -2.035 0.0863897 0.1
0.0258686 -1.89457 0.0986396 0.1
0.378199 -2.09316 0.0981203 0.1
0.264766 -2.38402 0.0853267 0.1
0.031518 -2.09783 0.0897138 0.1
0.241721 -2.10422 0.528069 0.15
0.191631 -2.00931 0.145718 0.1
0.204078 -2.1983 0.0975445 0.1
1.13148 -2.08445 0.090482 0.1
0.855052 -1.94296 0.0912722 0.1
1.1548 -1.84042 0.0908363 0.1
1.02543 -1.95156 0.188723 0.1
1.03731 -1.92007 0.408468 0.1
1.63068 -2.00105 0.397025 0.5
1.27252 -2.35645 0.0889257 0.1
2.14489 -1.95357 0.0968868 0.1
2.24414 -1.83947 0.228583 0.1
-2.62767 -1.28399 0.0822418 0.1
-2.50908 -1.44122 0.0982484 0.1
-2.41416 -1.61467 0.0937736 0.1
-2.31875 -1.3847 0.0957637 0.1
-1.91989 -1.69794 0.409444 0.5
-1.34949 -1.66333 0.233821 0.1
-1.24717 -1.75828 0.0944611 0.1
-1.25892 -1.67415 0.4091 0.1
-1.436 -1.55498 0.0932585 0.1
-0.941894 -1.58709 0.0981621 0.1
-1.04898 -1.75781 0.0968636 0.1
-1.15195 -1.67436 0.242237 0.1
-1.01944 -1.67953 0.387892 0.1
-0.424856 -1.61881 0.398742 0.5
-0.0087074 -1.20122 0.141955 0.15
0.498339 -1.54332 0.343284 0.5
0.987256 -1.74624 0.0883698 0.1
1.02719 -1.51889 0.0847827 0.1
1.14867 -1.65432 0.160263 0.1
1.12775 -1.67676 0.423287 0.1
1.0441 -1.77563 0.27464 0.1
1.32221 -1.60502 0.0848515 0.1
1.7615 -1.40344 0.0981304 0.1
2.33534 -1.72045 0.0972108 0.1
2.24538 -1.23096 0.42876 0.5
1.97336 -1.62691 0.0885654 0.1
2.12303 -1.75535 0.0972984 0.1
2.56946 -1.35108 0.0312132 0.1
-2.3956 -0.872776 0.393976 0.5
-1.95668 -1.18242 0.0982302 0.1
-1.78544 -0.545023 0.146193 0.15
-1.84163 -0.890469 0.0975146 0.1
-1.56543 -0.701184 0.0989614 0.1
-1.74841 -1.14175 0.0983269 0.1
-0.632005 -1.15361 0.0926705 0.1
-1.16683 -1.08691 0.341459 0.5
-0.789776 -0.698478 0.0941102 0.1
-0.666378 -0.895709 0.092067 0.1
-0.613835 -0.860706 0.306437 0.1
-0.439746 -1.11033 0.0932354 0.1
-0.243109 -1.1362 0.0964474 0.1
-0.283181 -0.884909 0.094331 0.1
-0.127776 -0.985568 0.156411 0.1
-0.549347 -0.68573 0.142822 0.15
-0.557686 -1.03655 0.234387 0.1
-0.0132312 -1.02404 0.314621 0.1
-0.329012 -1.02215 0.233231 0.1
-0.474177 -0.917652 0.0978778 0.1
-0.414104 -0.84766 0.272749 0.1
-0.544779 -0.67432 0.39093 0.1
0.0593028 -0.967604 0.0957329 0.1
0.207499 -1.0957 0.0916864 0.1
0.17504 -0.994083 0.256417 0.1
0.250218 -0.907761 0.0929681 0.1
0.403383 -0.785386 0.091303 0.1
0.425008 -1.00197 0.0975669 0.1
0.357833 -0.904573 0.257518 0.1
0.553718 -0.935341 0.255316 0.1
0.478575 -0.791838 0.368364 0.1
0.589102 -0.827675 0.0925379 0.1
0.550283 -0.680992 0.220195 0.1
0.558913 -0.957347 0.451948 0.1
0.909333 -0.809142 0.0826977 0.1
1.04377 -0.663027 0.0971774 0.1
0.814728 -0.983597 0.0930658 0.1
0.705166 -0.639672 0.0964325 0.1
0.727124 -0.998457 0.330969 0.1
0.623067 -1.02074 0.0924081 0.1
0.84963 -0.702121 0.213948 0.1
0.733864 -0.850975 0.212133 0.1
0.750177 -0.955592 0.516671 0.1
1.30911 -1.10793 0.395806 0.5
1.72044 -0.766327 0.0985036 0.1
1.93307 -0.725836 0.243971 0.1
2.26306 -0.744993 0.0901405 0.1
1.91107 -0.856319 0.097232 0.1
1.80527 -1.02191 0.0892028 0.1
2.0666 -0.734455 0.0979823 0.1
2.57415 -0.853917 0.0979946 0.1
2.70876 -1.02382 0.0983952 0.1
2.77832 -0.803016 0.0983277 0.1
-2.77653 -0.459852 0.101675 0.1
-2.82643 -0.205173 0.0964661 0.1
-2.63147 -0.313285 0.100897 0.1
-2.37872 -0.273438 0.0979391 0.1
-2.06084 -0.459252 0.0978509 0.1
-2.50887 -0.0984398 0.100393 0.1
-1.4221 -0.335255 0.0988334 0.1
-1.39509 -0.564225 0.0989343 0.1
-0.871371 -0.17095 0.357758 0.5
-0.360545 -0.0253295 0.0921757 0.1
0.00594028 -0.4264 0.335734 0.5
0.549967 -0.328696 0.0982509 0.1
0.542227 -0.527453 0.0961156 0.1
0.390229 -0.034691 0.0971872 0.1
0.509703 -0.0277375 0.256326 0.1
0.564336 -0.131395 0.0976817 0.1
0.718612 -0.436828 0.0986489 0.1
1.0787 -0.259278 0.0975766 0.1
0.910167 -0.153541 0.0946815 0.1
0.882835 -0.547681 0.0969415 0.1
0.731097 -0.238807 0.0978664 0.1
0.901786 -0.350546 0.0979864 0.1
1.06936 -0.459753 0.098241 0.1
0.830521 -0.0455187 0.23532 0.1
1.04772 -0.115842 0.23212 0.1
1.22982 -0.596113 0.0969366 0.1
1.63145 -0.216056 0.323703 0.5
2.08127 -0.536677 0.0967261 0.1
2.14862 -0.0218801 0.096427 0.1
2.54892 -0.335668 0.408945 0.5
-2.66454 0.201271 0.0974721 0.1
-2.71113 -0.0108027 0.11117 0.1
-2.42167 0.243024 0.0988369 0.1
-1.77795 0.0655957 0.389937 0.5
-1.41429 0.421021 0.0907485 0.1
-1.568 0.547288 0.0983619 0.1
-1.29634 0.476692 0.239566 0.1
-1.40707 0.531685 0.393274 0.1
-1.28143 0.158687 0.0881867 0.1
-1.22847 0.492103 0.463944 0.1
-1.23358 0.346508 0.0962536 0.1
-1.23131 0.299082 0.43132 0.1
-1.17817 0.53356 0.0926374 0.1
-1.03691 0.337903 0.0952731 0.1
-1.13848 0.356572 0.266886 0.1
-0.542864 0.246294 0.0923336 0.1
-0.33734 0.364647 0.0940582 0.1
-0.187061 0.0830377 0.0949833 0.1
-0.363111 0.171193 0.0928341 0.1
-0.308304 0.0739198 0.25214 0.1
-0.365224 0.263933 0.263967 0.1
-0.429606 0.221049 0.443819 0.1
-0.272527 0.0986141 0.44122 0.1
-0.380415 0.114262 0.602562 0.1
-0.342349 0.32237 0.589923 0.1
0.188399 0.466806 0.353686 0.5
1.12364 0.00703578 0.0966519 0.1
0.920313 0.0433987 0.0923761 0.1
