ITEM: TIMESTEP
4600
ITEM: NUMBER OF ATOMS
6896
ITEM: BOX BOUNDS pp pp ff
-3.0000000000000000e+00 3.0000000000000000e+00
-3.0000000000000000e+00 3.0000000000000000e+00
0.0000000000000000e+00 1.7000000000000000e+01
ITEM: ATOMS x y z radius
-0.970354 -2.7381 0.0947884 0.1
-0.727812 -2.54444 0.0954585 0.1
-0.781067 -2.72872 0.141482 0.1
-0.625894 -2.83651 0.0926907 0.1
-0.209867 -2.54196 0.391854 0.5
0.300118 -2.70498 0.0987548 0.1
0.428527 -2.86206 0.0982576 0.1
0.188481 -2.89166 0.0992631 0.1
0.768186 -2.45307 0.383325 0.5
1.45448 -2.49146 0.0988233 0.1
1.40158 2.55641 3.73345 0.1
-1.43167 -1.82791 0.0942048 0.1
-1.15952 -2.26414 0.396611 0.5
-0.87228 -1.84263 0.0895905 0.1
-0.606601 -2.15007 0.594737 0.1
-0.154583 -2.03477 0.0863353 0.1
0.0519012 -1.85845 0.0984466 0.1
0.375482 -2.08782 0.098369 0.1
0.264955 -2.3838 0.0852079 0.1
0.0317408 -2.09748 0.0895497 0.1
0.242572 -2.10386 0.527975 0.15
0.192178 -2.00887 0.145749 0.1
0.204208 -2.19806 0.0975997 0.1
1.13182 -2.08449 0.0902699 0.1
0.855555 -1.94285 0.0909827 0.1
1.1551 -1.84042 0.090581 0.1
1.02586 -1.95155 0.188326 0.1
1.03796 -1.92005 0.407969 0.1
1.63118 -2.00109 0.396418 0.5
1.27278 -2.35651 0.0886613 0.1
2.14498 -1.95358 0.0966265 0.1
2.24404 -1.83951 0.228477 0.1
-2.62769 -1.28407 0.0820462 0.1
-2.50909 -1.44121 0.0982892 0.1
-2.41401 -1.61461 0.0936345 0.1
-2.319 -1.38478 0.0952657 0.1
-1.91964 -1.69816 0.408957 0.5
-1.34901 -1.6625 0.23391 0.1
-1.24712 -1.7577 0.0944213 0.1
-1.25801 -1.67342 0.409895 0.1
-1.43543 -1.55488 0.0933648 0.1
-0.945309 -1.58754 0.0985324 0.1
-1.04911 -1.75754 0.0966443 0.1
-1.15122 -1.67356 0.242219 0.1
-1.01794 -1.68188 0.387036 0.1
-0.42376 -1.61773 0.398569 0.5
0.499331 -1.5427 0.342923 0.5
0.987708 -1.74603 0.0879968 0.1
1.02759 -1.5186 0.0844415 0.1
1.14916 -1.65427 0.159882 0.1
1.12824 -1.67652 0.422595 0.1
1.04479 -1.77547 0.273942 0.1
1.32249 -1.60485 0.0845602 0.1
1.70533 -1.47141 0.0985414 0.1
2.33545 -1.72044 0.0970017 0.1
2.24598 -1.23094 0.427809 0.5
1.97361 -1.62691 0.0881287 0.1
2.1231 -1.75529 0.0971452 0.1
2.56967 -1.35119 0.0307606 0.1
-2.39527 -0.872948 0.393112 0.5
-1.95478 -1.18366 0.0983852 0.1
-1.85678 -0.935665 0.0987779 0.1
-1.56334 -0.642007 0.0982466 0.1
-1.72903 -1.18604 0.0985493 0.1
-0.631154 -1.15284 0.0922631 0.1
-1.16571 -1.0858 0.341309 0.5
-0.789531 -0.69788 0.0936696 0.1
-0.665963 -0.894992 0.0917483 0.1
-0.613594 -0.859323 0.305634 0.1
-0.00796917 -1.20102 0.141755 0.15
-0.438865 -1.10994 0.0929717 0.1
-0.242408 -1.13609 0.0958673 0.1
-0.282709 -0.884616 0.0943469 0.1
-0.12735 -0.985662 0.156397 0.1
-0.548929 -0.685182 0.142643 0.15
-0.55766 -1.03528 0.233876 0.1
-0.0130821 -1.02331 0.314769 0.1
-0.327843 -1.02179 0.233058 0.1
-0.473567 -0.917286 0.0978054 0.1
-0.413307 -0.847242 0.272739 0.1
-0.522171 -0.703008 0.38872 0.1
0.0597046 -0.9673 0.0958627 0.1
0.207909 -1.09532 0.0917224 0.1
0.175385 -0.993389 0.256803 0.1
0.250638 -0.907353 0.0932529 0.1
0.403651 -0.785053 0.0912348 0.1
0.425643 -1.00143 0.0977764 0.1
0.358813 -0.903957 0.258489 0.1
0.554612 -0.935276 0.255318 0.1
0.479961 -0.790722 0.368665 0.1
0.589396 -0.827625 0.0924661 0.1
0.551508 -0.680627 0.219876 0.1
0.561646 -0.956728 0.452025 0.1
0.909502 -0.809033 0.0824615 0.1
1.04333 -0.662447 0.0973051 0.1
0.815128 -0.983421 0.0928785 0.1
0.70518 -0.639491 0.096363 0.1
